key,id,model_name,model_sha,model_precision,model_type,model_weight_type,model_architecture,model_average_score,model_has_chat_template,evaluations_ifeval_name,evaluations_ifeval_value,evaluations_ifeval_normalized_score,evaluations_bbh_name,evaluations_bbh_value,evaluations_bbh_normalized_score,evaluations_math_name,evaluations_math_value,evaluations_math_normalized_score,evaluations_gpqa_name,evaluations_gpqa_value,evaluations_gpqa_normalized_score,evaluations_musr_name,evaluations_musr_value,evaluations_musr_normalized_score,evaluations_mmlu_pro_name,evaluations_mmlu_pro_value,evaluations_mmlu_pro_normalized_score,features_is_not_available_on_hub,features_is_merged,features_is_moe,features_is_flagged,features_is_official_provider,metadata_upload_date,metadata_submission_date,metadata_generation,metadata_base_model,metadata_hub_license,metadata_hub_hearts,metadata_params_billions,metadata_co2_cost,rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
gemma-2-9b-it,google/gemma-2-9b-it_bfloat16_1937c70277fcc5f7fb0fc772fc5bc69378996e71_True,google/gemma-2-9b-it,1937c70277fcc5f7fb0fc772fc5bc69378996e71,bfloat16,chatmodels,Original,Gemma2ForCausalLM,32.0727602526708,TRUE,IFEval,0.743562636027961,74.3562636027961,BBH,0.599034250416413,42.1366196836647,MATH Level 5,0.194864048338369,19.4864048338369,GPQA,0.360738255033557,14.7651006711409,MUSR,0.407270833333333,9.7421875,MMLU-PRO,0.387549867021277,31.9499852245863,TRUE,FALSE,FALSE,FALSE,TRUE,2024-06-24,2024-07-11,1,google/gemma-2-9b,gemma,687,9,7.54426807309629,76,70,Gemma-2-9B-it,1192,+3/-3,57307,Google,Gemma license,2024/6,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-9b-it
gemma-2-9b-it,jebish7/gemma-2-9b-it_bfloat16_e6111e3d6933874b2a3f448a4a769617ca0cc31b_False,jebish7/gemma-2-9b-it,e6111e3d6933874b2a3f448a4a769617ca0cc31b,bfloat16,pretrained,Original,Gemma2ForCausalLM,21.7629891523179,FALSE,IFEval,0.155746751951489,15.5746751951489,BBH,0.594921056804772,42.4141269009909,MATH Level 5,0.0845921450151058,8.45921450151058,GPQA,0.347315436241611,12.9753914988814,MUSR,0.455447916666667,16.2309895833333,MMLU-PRO,0.414311835106383,34.9235372340426,TRUE,FALSE,FALSE,FALSE,FALSE,2025-02-06,2025-02-06,1,google/gemma-2-9b,gemma,0,9.242,5.89088575674606,76,70,Gemma-2-9B-it,1192,+3/-3,57307,Google,Gemma license,2024/6,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-9b-it
gemma-2-9b-it-simpo,princeton-nlp/gemma-2-9b-it-SimPO_bfloat16_8c87091f412e3aa6f74f66bd86c57fb81cbc3fde_True,princeton-nlp/gemma-2-9b-it-SimPO,8c87091f412e3aa6f74f66bd86c57fb81cbc3fde,bfloat16,chatmodels,Original,Gemma2ForCausalLM,22.3449346084354,TRUE,IFEval,0.320685780396016,32.0685780396016,BBH,0.583917992316212,40.0934299163717,MATH Level 5,0.0709969788519638,7.09969788519638,GPQA,0.335570469798658,11.4093959731544,MUSR,0.412322916666667,10.3403645833333,MMLU-PRO,0.397523271276596,33.0581412529551,TRUE,FALSE,FALSE,FALSE,FALSE,2024-07-16,2024-08-10,2,google/gemma-2-9b,mit,156,9.242,5.53800744850807,60,56,Gemma-2-9B-it-SimPO,1216,+5/-5,10554,Princeton,MIT,2024/7,https://huggingface.co/princeton-nlp/gemma-2-9b-it-SimPO
gemma-2b-it,google/gemma-2b-it_bfloat16_de144fb2268dee1066f515465df532c05e699d48_True,google/gemma-2b-it,de144fb2268dee1066f515465df532c05e699d48,bfloat16,chatmodels,Original,GemmaForCausalLM,7.48580413031513,TRUE,IFEval,0.269029508371122,26.9029508371122,BBH,0.315081919887885,5.21430302216362,MATH Level 5,0.020392749244713,2.0392749244713,GPQA,0.278523489932886,3.80313199105145,MUSR,0.334125,3.03229166666667,MMLU-PRO,0.13530585106383,3.92287234042553,TRUE,FALSE,FALSE,FALSE,TRUE,2024-02-08,2024-06-12,0,google/gemma-2b-it,gemma,709,2.506,0.705900662095519,161,161,Gemma-2B-it,989,+8/-10,4923,Google,Gemma license,2024/2,https://huggingface.co/google/gemma-2b-it
gemma-7b-it,google/gemma-7b-it_bfloat16_18329f019fb74ca4b24f97371785268543d687d2_True,google/gemma-7b-it,18329f019fb74ca4b24f97371785268543d687d2,bfloat16,chatmodels,Original,GemmaForCausalLM,13.0670871104662,TRUE,IFEval,0.386832493339894,38.6832493339894,BBH,0.36459012743301,11.9408320852902,MATH Level 5,0.0294561933534743,2.94561933534743,GPQA,0.284395973154362,4.58612975391499,MUSR,0.427427083333333,12.5283854166667,MMLU-PRO,0.169464760638298,7.71830673758865,TRUE,FALSE,FALSE,FALSE,TRUE,2024-02-13,2024-06-12,1,google/gemma-7b,gemma,1158,8.538,1.19902456230696,145,142,Gemma-7B-it,1037,+7/-7,9185,Google,Gemma license,2024/2,https://huggingface.co/google/gemma-7b-it
granite-3.0-2b-instruct,ibm-granite/granite-3.0-2b-instruct_bfloat16_342f92f4a0b4d6d83c0b61dc6c122e253a4efebd_True,ibm-granite/granite-3.0-2b-instruct,342f92f4a0b4d6d83c0b61dc6c122e253a4efebd,bfloat16,chatmodels,Original,GraniteForCausalLM,18.3960951142842,TRUE,IFEval,0.513977357854936,51.3977357854936,BBH,0.441197720626303,21.7378914109024,MATH Level 5,0.0921450151057402,9.21450151057402,GPQA,0.299496644295302,6.59955257270694,MUSR,0.351489583333333,1.26953125,MMLU-PRO,0.281416223404255,20.1573581560284,TRUE,FALSE,FALSE,FALSE,TRUE,2024-10-02,"",1,ibm-granite/granite-3.0-2b-instruct (Merge),apache-2.0,47,2.634,1.52568976945626,127,125,Granite-3.0-2B-Instruct,1074,+7/-7,7191,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.0-2b-instruct
granite-3.0-8b-instruct,ibm-granite/granite-3.0-8b-instruct_bfloat16_e0a466fb25b9e07e9c2dc93380a360189700d1f8_True,ibm-granite/granite-3.0-8b-instruct,e0a466fb25b9e07e9c2dc93380a360189700d1f8,bfloat16,chatmodels,Original,GraniteForCausalLM,24.0276787534833,TRUE,IFEval,0.530963399335984,53.0963399335984,BBH,0.519187463184023,31.5881590647151,MATH Level 5,0.141993957703928,14.1993957703927,GPQA,0.332214765100671,10.9619686800895,MUSR,0.3900625,7.02447916666667,MMLU-PRO,0.345661569148936,27.2957299054374,TRUE,FALSE,FALSE,FALSE,TRUE,2024-10-02,2024-10-20,1,ibm-granite/granite-3.0-8b-instruct (Merge),apache-2.0,199,8.171,2.56766374637605,117,107,Granite-3.0-8B-Instruct,1093,+6/-7,6998,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.0-8b-instruct
granite-3.1-2b-instruct,ibm-granite/granite-3.1-2b-instruct_float16_8f683a244be9034aeea43dd2a80b7b4fe01d376f_True,ibm-granite/granite-3.1-2b-instruct,8f683a244be9034aeea43dd2a80b7b4fe01d376f,float16,chatmodels,Original,GraniteForCausalLM,21.7122128220283,TRUE,IFEval,0.628557782240012,62.8557782240012,BBH,0.440898585580565,21.8229561407945,MATH Level 5,0.152567975830816,15.2567975830816,GPQA,0.289429530201342,5.2572706935123,MUSR,0.360541666666667,4.86770833333334,MMLU-PRO,0.281914893617021,20.2127659574468,TRUE,FALSE,FALSE,FALSE,TRUE,2024-12-06,2024-12-16,1,ibm-granite/granite-3.1-2b-instruct (Merge),apache-2.0,45,2.534,1.01128380759194,105,110,Granite-3.1-2B-Instruct,1119,+10/-10,3381,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.1-2b-instruct
granite-3.1-8b-instruct,ibm-granite/granite-3.1-8b-instruct_float16_f6749f3946b2dc9983b870317a71ddf7a65c0806_True,ibm-granite/granite-3.1-8b-instruct,f6749f3946b2dc9983b870317a71ddf7a65c0806,float16,chatmodels,Original,GraniteForCausalLM,30.6030430081627,TRUE,IFEval,0.720756481690803,72.0756481690803,BBH,0.536446043381602,34.0896552994141,MATH Level 5,0.219788519637462,21.9788519637462,GPQA,0.312080536912752,8.27740492170022,MUSR,0.470708333333333,19.0052083333333,MMLU-PRO,0.353723404255319,28.1914893617021,TRUE,FALSE,FALSE,FALSE,TRUE,2024-12-06,2024-12-16,1,ibm-granite/granite-3.1-8b-instruct (Merge),apache-2.0,153,8.171,1.2356666876371,94,95,Granite-3.1-8B-Instruct,1142,+9/-12,3302,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.1-8b-instruct
llama-13b,huggyllama/llama-13b_float16_bf57045473f207bb1de1ed035ace226f4d9f9bba_False,huggyllama/llama-13b,bf57045473f207bb1de1ed035ace226f4d9f9bba,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,9.39218439885523,FALSE,IFEval,0.241052629245956,24.1052629245956,BBH,0.398789255811746,16.1457073769258,MATH Level 5,0.020392749244713,2.0392749244713,GPQA,0.25503355704698,0.671140939597318,MUSR,0.34621875,2.81067708333333,MMLU-PRO,0.195229388297872,10.581043144208,TRUE,FALSE,FALSE,FALSE,FALSE,2023-04-03,2024-07-04,0,huggyllama/llama-13b,other,139,13.016,2.2122811971432,177,174,LLaMA-13B,799,+11/-17,2445,Meta,Non-commercial,2023/2,https://arxiv.org/abs/2302.13971
llama-3-8b-instruct,AI-Sweden-Models/Llama-3-8B-instruct_bfloat16_4e1c955228bdb4d69c1c4560e8d5872312a8f033_True,AI-Sweden-Models/Llama-3-8B-instruct,4e1c955228bdb4d69c1c4560e8d5872312a8f033,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,14.3436696717428,TRUE,IFEval,0.240128414828211,24.0128414828211,BBH,0.41734601545153,18.3880956150275,MATH Level 5,0.0385196374622356,3.85196374622356,GPQA,0.265939597315436,2.12527964205817,MUSR,0.47709375,19.93671875,MMLU-PRO,0.259724069148936,17.7471187943262,TRUE,FALSE,FALSE,FALSE,FALSE,2024-06-01,2024-06-27,2,meta-llama/Meta-Llama-3-8B,llama3,10,8.03,2.33222176173503,92,92,Llama-3-8B-Instruct,1152,+2/-3,109121,Meta,Llama 3 Community,2023/3,https://llama.meta.com/llama3/
llama-3.1-tulu-3-70b,allenai/Llama-3.1-Tulu-3-70B_bfloat16_c4280450c0cd91a2fb6f41a25c6a1662c6966b01_True,allenai/Llama-3.1-Tulu-3-70B,c4280450c0cd91a2fb6f41a25c6a1662c6966b01,bfloat16,chatmodels,Original,LlamaForCausalLM,42.3317873853209,TRUE,IFEval,0.829116743573718,82.9116743573718,BBH,0.616362649619995,45.3655686174063,MATH Level 5,0.450151057401813,45.0151057401813,GPQA,0.373322147651007,16.4429530201342,MUSR,0.494833333333333,23.7541666666667,MMLU-PRO,0.464511303191489,40.5012559101655,TRUE,FALSE,FALSE,FALSE,TRUE,2024-11-20,2024-11-27,1,allenai/Llama-3.1-Tulu-3-70B (Merge),llama3.1,54,70.554,73.1861009601742,47,50,Llama-3.1-Tulu-3-70B,1243,+8/-11,3016,Ai2,Llama 3.1,Unknown,https://huggingface.co/allenai/Llama-3.1-Tulu-3-70B
llama-3.1-tulu-3-70b,allenai/Llama-3.1-Tulu-3-70B_float16_c4280450c0cd91a2fb6f41a25c6a1662c6966b01_True,allenai/Llama-3.1-Tulu-3-70B,c4280450c0cd91a2fb6f41a25c6a1662c6966b01,float16,chatmodels,Original,LlamaForCausalLM,41.4545274065984,TRUE,IFEval,0.837934458348294,83.7934458348294,BBH,0.615684716955611,45.259480995205,MATH Level 5,0.382930513595166,38.2930513595166,GPQA,0.373322147651007,16.4429530201342,MUSR,0.498802083333333,24.3169270833333,MMLU-PRO,0.465591755319149,40.6213061465721,TRUE,FALSE,FALSE,FALSE,TRUE,2024-11-20,2024-11-27,1,allenai/Llama-3.1-Tulu-3-70B (Merge),llama3.1,54,70.554,38.022026223354,47,50,Llama-3.1-Tulu-3-70B,1243,+8/-11,3016,Ai2,Llama 3.1,Unknown,https://huggingface.co/allenai/Llama-3.1-Tulu-3-70B
llama-3.1-tulu-3-8b,allenai/Llama-3.1-Tulu-3-8B_bfloat16_63b75e0dd6eac3725319f869716b9b70c16a6a65_True,allenai/Llama-3.1-Tulu-3-8B,63b75e0dd6eac3725319f869716b9b70c16a6a65,bfloat16,chatmodels,Original,LlamaForCausalLM,26.0349980816721,TRUE,IFEval,0.826668794354535,82.6668794354535,BBH,0.404983310273191,16.671812993248,MATH Level 5,0.196374622356495,19.6374622356495,GPQA,0.298657718120805,6.48769574944072,MUSR,0.41746875,10.4502604166667,MMLU-PRO,0.28266289893617,20.2958776595745,TRUE,FALSE,FALSE,FALSE,TRUE,2024-11-20,2024-11-21,1,allenai/Llama-3.1-Tulu-3-8B (Merge),llama3.1,160,8.03,0.703774148994329,76,86,Llama-3.1-Tulu-3-8B,1185,+11/-10,3074,Ai2,Llama 3.1,Unknown,https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B
llama-3.1-tulu-3-8b,allenai/Llama-3.1-Tulu-3-8B_float16_50fef8756a9a4ca2010587d128aebb3a18ec897d_True,allenai/Llama-3.1-Tulu-3-8B,50fef8756a9a4ca2010587d128aebb3a18ec897d,float16,chatmodels,Original,LlamaForCausalLM,26.2608680154537,TRUE,IFEval,0.825469753587149,82.5469753587149,BBH,0.40608256120952,16.8580520694028,MATH Level 5,0.211480362537764,21.1480362537764,GPQA,0.296979865771812,6.26398210290828,MUSR,0.41746875,10.5169270833333,MMLU-PRO,0.282081117021277,20.2312352245863,TRUE,FALSE,FALSE,FALSE,TRUE,2024-11-20,2024-11-28,1,allenai/Llama-3.1-Tulu-3-8B (Merge),llama3.1,160,8.03,1.40246423316651,76,86,Llama-3.1-Tulu-3-8B,1185,+11/-10,3074,Ai2,Llama 3.1,Unknown,https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B
llama-3.3-70b-instruct,meta-llama/Llama-3.3-70B-Instruct_bfloat16__True,meta-llama/Llama-3.3-70B-Instruct,"",bfloat16,chatmodels,Original,LlamaForCausalLM,44.8474714512988,TRUE,IFEval,0.899758197139146,89.9758197139146,BBH,0.691931282832581,56.5614107880222,MATH Level 5,0.483383685800604,48.3383685800604,GPQA,0.328859060402685,10.5145413870246,MUSR,0.446125,15.565625,MMLU-PRO,0.533161569148936,48.1290632387707,TRUE,FALSE,FALSE,FALSE,TRUE,2024-11-26,2024-12-03,1,meta-llama/Llama-3.3-70B-Instruct (Merge),llama3.3,2133,70.554,76.5590741074529,41,33,Llama-3.3-70B-Instruct,1256,+4/-4,30990,Meta,Llama-3.3,Unknown,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct
mistral-7b-instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.1_bfloat16_73068f3702d050a2fd5aa2ca1e612e5036429398_True,mistralai/Mistral-7B-Instruct-v0.1,73068f3702d050a2fd5aa2ca1e612e5036429398,bfloat16,chatmodels,Original,MistralForCausalLM,12.7712293950306,TRUE,IFEval,0.448706099815157,44.8706099815157,BBH,0.33548084759811,7.64702053582754,MATH Level 5,0.0226586102719033,2.26586102719033,GPQA,0.25,0,MUSR,0.384760416666667,6.12838541666667,MMLU-PRO,0.241439494680851,15.7154994089835,TRUE,FALSE,FALSE,FALSE,TRUE,2023-09-27,2024-06-27,1,mistralai/Mistral-7B-v0.1,apache-2.0,1599,7.242,1.86291373730786,158,155,Mistral-7B-Instruct-v0.1,1008,+6/-6,9145,Mistral,Apache 2.0,2023/9,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1
mistral-7b-instruct-v0.2,mistralai/Mistral-7B-Instruct-v0.2_bfloat16_41b61a33a2483885c981aa79e0df6b32407ed873_True,mistralai/Mistral-7B-Instruct-v0.2,41b61a33a2483885c981aa79e0df6b32407ed873,bfloat16,chatmodels,Original,MistralForCausalLM,18.5078915927376,TRUE,IFEval,0.549622778671702,54.9622778671702,BBH,0.445973552032928,22.9106019367136,MATH Level 5,0.0302114803625378,3.02114803625378,GPQA,0.276006711409396,3.4675615212528,MUSR,0.396604166666667,7.60885416666667,MMLU-PRO,0.271692154255319,19.0769060283688,TRUE,FALSE,FALSE,FALSE,TRUE,2023-12-11,2024-06-12,0,mistralai/Mistral-7B-Instruct-v0.2,apache-2.0,2682,7.242,1.06881325810197,129,133,Mistral-7B-Instruct-v0.2,1072,+4/-5,20064,Mistral,Apache-2.0,2023/12,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2
mixtral-8x22b-instruct-v0.1,mistralai/Mixtral-8x22B-Instruct-v0.1_bfloat16_b0c3516041d014f640267b14feb4e9a84c8e8c71_True,mistralai/Mixtral-8x22B-Instruct-v0.1,b0c3516041d014f640267b14feb4e9a84c8e8c71,bfloat16,chatmodels,Original,MixtralForCausalLM,33.885680288082,TRUE,IFEval,0.718358400156031,71.8358400156031,BBH,0.612492492627202,44.1143455872484,MATH Level 5,0.187311178247734,18.7311178247734,GPQA,0.373322147651007,16.4429530201342,MUSR,0.431114583333333,13.4893229166667,MMLU-PRO,0.448304521276596,38.7005023640662,TRUE,FALSE,TRUE,FALSE,TRUE,2024-04-16,2024-06-12,1,mistralai/Mixtral-8x22B-v0.1,apache-2.0,718,140.621,47.147578592378,95,88,Mixtral-8x22b-Instruct-v0.1,1147,+3/-3,53787,Mistral,Apache 2.0,2024/4,https://mistral.ai/news/mixtral-8x22b/
mixtral-8x7b-instruct-v0.1,mistralai/Mixtral-8x7B-Instruct-v0.1_bfloat16_1e637f2d7cb0a9d6fb1922f305cb784995190a83_True,mistralai/Mixtral-8x7B-Instruct-v0.1,1e637f2d7cb0a9d6fb1922f305cb784995190a83,bfloat16,chatmodels,Original,MixtralForCausalLM,23.8171027058463,TRUE,IFEval,0.559914360563305,55.9914360563305,BBH,0.496236540133565,29.7423983809673,MATH Level 5,0.0913897280966767,9.13897280966767,GPQA,0.302852348993289,7.04697986577182,MUSR,0.420322916666667,11.0736979166667,MMLU-PRO,0.369182180851064,29.9091312056738,TRUE,FALSE,TRUE,FALSE,TRUE,2023-12-10,2024-06-12,1,mistralai/Mixtral-8x7B-v0.1,apache-2.0,4345,46.703,17.4849867057752,110,107,Mixtral-8x7B-Instruct-v0.1,1114,+0/-0,76132,Mistral,Apache 2.0,2023/12,https://mistral.ai/news/mixtral-of-experts/
