rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
40,41,Yi-Large,1213,+4/-4,16668,01 AI,Proprietary,Unknown,https://platform.01.ai/docs#models-and-pricing
40,34,Llama-3.1-Nemotron-51B-Instruct,1212,+8/-8,3942,Nvidia,Llama 3.1,2023/12,https://huggingface.co/nvidia/Llama-3_1-Nemotron-51B-Instruct
41,54,Gemini-1.5-Flash-8B-001,1211,+5/-4,22443,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-flash-8b
43,41,Nemotron-4-340B-Instruct,1209,+5/-4,20637,Nvidia,NVIDIA Open Model,2023/6,https://huggingface.co/nvidia/Nemotron-4-340B-Instruct
43,47,GLM-4-0520,1206,+5/-6,10224,Zhipu AI,Proprietary,Unknown,https://open.bigmodel.cn/dev/api#language
44,52,Aya-Expanse-32B,1207,+4/-5,16701,Cohere,CC-BY-NC-4.0,Unknown,https://huggingface.co/CohereForAI/aya-expanse-32b
47,44,Llama-3-70B-Instruct,1206,+2/-2,163859,Meta,Llama 3 Community,2023/12,https://llama.meta.com/llama3/
47,60,Gemini-1.5-Flash-8B-Exp-0827,1205,+4/-4,25472,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash-8b-exp-0827
49,52,Reka-Flash-20240722,1201,+5/-5,13775,Reka AI,Proprietary,Unknown,https://docs.reka.ai/available-models
52,40,Claude 3 Sonnet,1201,+2/-3,113046,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
53,56,Reka-Core-20240501,1199,+3/-3,62589,Reka AI,Proprietary,Unknown,https://www.reka.ai/news/reka-core-our-frontier-class-multimodal-language-model
55,67,Hunyuan-Standard-256K,1188,+11/-11,2934,Tencent,Proprietary,Unknown,https://cloud.tencent.com/document/product/1729/104753
58,55,Gemma-2-9B-it,1190,+3/-3,41124,Google,Gemma license,2024/6,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-9b-it
58,52,Command R+ (04-2024),1190,+2/-2,80872,Cohere,CC-BY-NC-4.0,2024/3,https://txt.cohere.com/command-r-plus-microsoft-azure/
58,52,Qwen2-72B-Instruct,1187,+4/-3,38976,Alibaba,Qianwen LICENSE,2024/6,https://qwenlm.github.io/blog/qwen2/
58,37,GPT-4-0314,1186,+3/-3,55965,OpenAI,Proprietary,2021/9,https://openai.com/research/gpt-4
58,66,GLM-4-0116,1183,+7/-6,7582,Zhipu AI,Proprietary,Unknown,https://open.bigmodel.cn/
58,66,Ministral-8B-2410,1183,+7/-8,4587,Mistral,MRL,Unknown,https://huggingface.co/mistralai/Ministral-8B-Instruct-2410
60,60,Qwen-Max-0428,1183,+4/-4,25707,Alibaba,Proprietary,Unknown,https://help.aliyun.com/zh/dashscope/developer-reference/api-details
62,55,Command R (08-2024),1179,+4/-5,10922,Cohere,CC-BY-NC-4.0,2024/8,https://docs.cohere.com/docs/command-r-plus#model-details
62,56,Claude 3 Haiku,1179,+3/-2,122399,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
62,52,DeepSeek-Coder-V2-Instruct,1178,+4/-4,15792,DeepSeek AI,DeepSeek License,2024/6,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct
62,67,Jamba-1.5-Mini,1176,+6/-5,9302,AI21 Labs,Jamba Open,2024/3,https://www.ai21.com/jamba
63,85,Meta-Llama-3.1-8B-Instruct,1175,+4/-3,46435,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/
71,68,Reka-Flash-Preview-20240611,1165,+4/-4,20458,Reka AI,Proprietary,Unknown,https://docs.reka.ai/http-api.html#generation
71,52,GPT-4-0613,1163,+3/-2,91629,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo
71,67,Qwen1.5-110B-Chat,1162,+3/-4,27472,Alibaba,Qianwen LICENSE,2024/4,https://qwenlm.github.io/blog/qwen1.5-110b/
72,85,Yi-1.5-34B-Chat,1157,+4/-3,25142,01 AI,Apache-2.0,2024/5,https://huggingface.co/01-ai/Yi-1.5-34B-Chat
72,68,Reka-Flash-21B-online,1156,+5/-4,16025,Reka AI,Proprietary,Online,https://docs.reka.ai/http-api.html#generation
73,67,Mistral-Large-2402,1157,+3/-3,64909,Mistral,Proprietary,Unknown,https://mistral.ai/news/mistral-large/
74,78,Llama-3-8B-Instruct,1152,+2/-3,109293,Meta,Llama 3 Community,2023/3,https://llama.meta.com/llama3/
74,95,InternLM2.5-20B-chat,1149,+6/-5,10710,InternLM,Other,2024/8,https://huggingface.co/internlm/internlm2_5-20b-chat
76,67,Claude-1,1149,+4/-4,21154,Anthropic,Proprietary,Unknown,https://www.anthropic.com/index/introducing-claude
76,73,Command R (04-2024),1149,+3/-3,56387,Cohere,CC-BY-NC-4.0,2024/3,https://txt.cohere.com/command-r
77,77,Mistral Medium,1148,+3/-3,35541,Mistral,Proprietary,Unknown,https://mistral.ai/news/la-plateforme/
77,71,Mixtral-8x22b-Instruct-v0.1,1148,+3/-2,53819,Mistral,Apache 2.0,2024/4,https://mistral.ai/news/mixtral-8x22b/
77,76,Reka-Flash-21B,1148,+3/-3,25800,Reka AI,Proprietary,2023/11,https://www.reka.ai/news/reka-flash-efficient-and-capable-multimodal-language-models
77,72,Qwen1.5-72B-Chat,1147,+3/-3,40618,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/
85,95,Gemma-2-2b-it,1140,+3/-3,32637,Google,Gemma license,2024/7,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-2b-it
85,71,Claude-2.0,1132,+6/-5,12758,Anthropic,Proprietary,Unknown,https://www.anthropic.com/index/claude-2
86,71,Gemini-1.0-Pro-001,1131,+5/-6,18783,Google,Proprietary,2023/4,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.0-pro
86,82,Zephyr-ORPO-141b-A35b-v0.1,1127,+9/-7,4854,HuggingFace,Apache 2.0,2024/4,https://huggingface.co/HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1
86,89,Qwen1.5-32B-Chat,1125,+4/-4,22749,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5-32b/
86,70,Mistral-Next,1124,+4/-5,12375,Mistral,Proprietary,Unknown,https://chat.mistral.ai/chat
87,95,Phi-3-Medium-4k-Instruct,1123,+4/-3,26140,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-medium-4k-instruct
88,107,Starling-LM-7B-beta,1119,+5/-4,16669,Nexusflow,Apache-2.0,2024/3,https://huggingface.co/Nexusflow/Starling-LM-7B-beta
89,83,Claude-2.1,1118,+3/-3,37683,Anthropic,Proprietary,Unknown,https://www.anthropic.com/index/claude-2-1
89,82,GPT-3.5-Turbo-0613,1117,+4/-3,38944,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-3-5
92,89,Claude-Instant-1,1111,+5/-4,20619,Anthropic,Proprietary,Unknown,https://www.anthropic.com/index/introducing-claude
92,100,Yi-34B-Chat,1111,+5/-5,15925,01 AI,Yi License,2023/6,https://huggingface.co/01-ai/Yi-34B-Chat
92,83,Gemini Pro,1111,+8/-6,6558,Google,Proprietary,2023/4,https://blog.google/technology/ai/gemini-api-developers-cloud/
94,95,Mixtral-8x7B-Instruct-v0.1,1114,+0/-0,76133,Mistral,Apache 2.0,2023/12,https://mistral.ai/news/mixtral-of-experts/
94,71,GPT-3.5-Turbo-0314,1107,+8/-10,5644,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-3-5
95,97,WizardLM-70B-v1.0,1106,+8/-7,8380,Microsoft,Llama 2 Community,2023/8,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
96,97,Qwen1.5-14B-Chat,1109,+3/-4,18663,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/
96,82,GPT-3.5-Turbo-0125,1106,+3/-2,68870,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-3-5-turbo
96,103,Meta-Llama-3.2-3B-Instruct,1103,+7/-6,8448,Meta,Llama 3.2,2023/12,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/
97,95,DBRX-Instruct-Preview,1103,+3/-4,33724,Databricks,DBRX LICENSE,2023/12,https://www.databricks.com/blog/introducing-dbrx-new-state-art-open-llm
97,103,Phi-3-Small-8k-Instruct,1102,+5/-3,18504,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-small-8k-instruct
97,104,Tulu-2-DPO-70B,1099,+8/-8,6662,AllenAI/UW,AI2 ImpACT Low-risk,2023/11,https://huggingface.co/allenai/tulu-2-dpo-70b
101,95,Granite-3.0-8B-Instruct,1095,+7/-7,7101,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.0-8b-instruct
105,114,Llama-2-70B-chat,1093,+3/-3,39612,Meta,Llama 2 Community,2023/7,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf
106,101,OpenChat-3.5-0106,1091,+5/-5,12968,OpenChat,Apache-2.0,2024/1,https://huggingface.co/openchat/openchat-3.5-0106
106,107,Vicuna-33B,1091,+4/-3,22942,LMSYS,Non-commercial,2023/8,https://huggingface.co/lmsys/vicuna-33b-v1.3
106,100,Snowflake Arctic Instruct,1090,+4/-3,34150,Snowflake,Apache 2.0,2024/4,https://www.snowflake.com/blog/arctic-open-efficient-foundation-language-models-snowflake/
106,109,Starling-LM-7B-alpha,1088,+6/-5,10417,UC Berkeley,CC-BY-NC-4.0,2023/11,https://huggingface.co/berkeley-nest/Starling-LM-7B-alpha
106,116,Nous-Hermes-2-Mixtral-8x7B-DPO,1084,+10/-8,3836,NousResearch,Apache-2.0,2024/1,https://huggingface.co/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO
108,114,NV-Llama2-70B-SteerLM-Chat,1081,+9/-11,3636,Nvidia,Llama 2 Community,2023/11,https://huggingface.co/nvidia/Llama2-70B-SteerLM-Chat
109,103,Gemma-1.1-7B-it,1084,+4/-3,25071,Google,Gemma license,2024/2,https://huggingface.co/google/gemma-1.1-7b-it
112,116,pplx-70B-online,1078,+7/-4,6892,Perplexity AI,Proprietary,Online,https://blog.perplexity.ai/blog/introducing-pplx-online-llms
112,104,DeepSeek-LLM-67B-Chat,1077,+8/-10,4986,DeepSeek AI,DeepSeek License,2023/11,https://huggingface.co/deepseek-ai/deepseek-llm-67b-chat
113,103,OpenChat-3.5,1076,+6/-7,8109,OpenChat,Apache-2.0,2023/11,https://huggingface.co/openchat/openchat_3.5
113,109,Granite-3.0-2B-Instruct,1075,+7/-8,7284,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.0-2b-instruct
113,107,OpenHermes-2.5-Mistral-7B,1074,+7/-7,5087,NousResearch,Apache-2.0,2023/11,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B
114,119,Mistral-7B-Instruct-v0.2,1072,+5/-3,20060,Mistral,Apache-2.0,2023/12,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2
114,119,Qwen1.5-7B-Chat,1070,+7/-9,4863,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/
115,119,Phi-3-Mini-4K-Instruct-June-24,1071,+6/-5,12867,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct
115,116,Dolphin-2.2.1-Mistral-7B,1062,+13/-13,1712,Cognitive Computations,Apache-2.0,2023/10,https://huggingface.co/ehartford/dolphin-2.2.1-mistral-7b
116,97,GPT-3.5-Turbo-1106,1068,+5/-4,17026,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-3-5
116,124,Phi-3-Mini-4k-Instruct,1066,+5/-4,21114,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct
117,118,SOLAR-10.7B-Instruct-v1.0,1062,+8/-9,4287,Upstage AI,CC-BY-NC-4.0,2023/11,https://huggingface.co/upstage/SOLAR-10.7B-Instruct-v1.0
119,124,Llama-2-13b-chat,1063,+5/-5,19729,Meta,Llama 2 Community,2023/7,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf
122,120,WizardLM-13b-v1.2,1058,+7/-7,7183,Microsoft,Llama 2 Community,2023/7,https://huggingface.co/WizardLM/WizardLM-13B-V1.2
126,130,Meta-Llama-3.2-1B-Instruct,1054,+5/-6,8564,Meta,Llama 3.2,2023/12,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/
126,126,Zephyr-7B-beta,1053,+6/-6,11329,HuggingFace,MIT,2023/10,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta
126,119,MPT-30B-chat,1045,+15/-10,2650,MosaicML,CC-BY-NC-SA-4.0,2023/6,https://huggingface.co/mosaicml/mpt-30b-chat
127,127,CodeLlama-70B-instruct,1041,+17/-17,1190,Meta,Llama 2 Community,2024/1,https://huggingface.co/codellama/CodeLlama-70b-hf
127,124,Zephyr-7B-alpha,1041,+13/-17,1812,HuggingFace,MIT,2023/10,https://huggingface.co/HuggingFaceH4/zephyr-7b-alpha
127,117,falcon-180b-chat,1034,+20/-15,1325,TII,Falcon-180B TII License,2023/9,https://huggingface.co/tiiuae/falcon-180B-chat
128,133,pplx-7B-online,1045,+7/-7,6333,Perplexity AI,Proprietary,Online,https://blog.perplexity.ai/blog/introducing-pplx-online-llms
130,127,CodeLlama-34B-instruct,1043,+6/-7,7508,Meta,Llama 2 Community,2023/7,https://huggingface.co/codellama/CodeLlama-34b-Instruct-hf
132,120,Vicuna-13B,1042,+4/-4,19782,LMSYS,Llama 2 Community,2023/7,https://huggingface.co/lmsys/vicuna-13b-v1.5
132,129,Gemma-7B-it,1037,+7/-6,9176,Google,Gemma license,2024/2,https://huggingface.co/google/gemma-7b-it
132,129,Phi-3-Mini-128k-Instruct,1037,+4/-4,21612,Microsoft,MIT,2023/10,https://azure.microsoft.com/en-us/blog/introducing-phi-3-redefining-whats-possible-with-slms/
132,144,Llama-2-7B-chat,1037,+5/-4,14549,Meta,Llama 2 Community,2023/7,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf
132,120,Qwen-14B-Chat,1035,+8/-9,5070,Alibaba,Qianwen LICENSE,2023/8,https://huggingface.co/Qwen/Qwen-14B-Chat
132,129,Guanaco-33B,1033,+10/-11,2997,UW,Non-commercial,2023/5,https://huggingface.co/timdettmers/guanaco-33b-merged
139,133,Gemma-1.1-2b-it,1021,+6/-4,11344,Google,Gemma license,2024/2,https://huggingface.co/google/gemma-1.1-2b-it
140,136,StripedHyena-Nous-7B,1017,+8/-6,5270,Together AI,Apache 2.0,2023/12,https://huggingface.co/togethercomputer/StripedHyena-Nous-7B
142,150,OLMo-7B-instruct,1015,+8/-7,6498,Allen AI,Apache-2.0,2024/2,https://huggingface.co/allenai/OLMo-7B-Instruct
145,142,Mistral-7B-Instruct-v0.1,1008,+7/-7,9137,Mistral,Apache 2.0,2023/9,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1
145,133,PaLM-Chat-Bison-001,1004,+8/-7,8745,Google,Proprietary,2021/6,https://cloud.google.com/vertex-ai/docs/generative-ai/learn/models#foundation_models
146,144,Vicuna-7B,1005,+6/-9,7014,LMSYS,Llama 2 Community,2023/7,https://huggingface.co/lmsys/vicuna-7b-v1.5
148,147,Gemma-2B-it,990,+8/-9,4917,Google,Gemma license,2024/2,https://huggingface.co/google/gemma-2b-it
149,145,Qwen1.5-4B-Chat,988,+8/-8,7809,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/
152,151,Koala-13B,964,+8/-9,7033,UC Berkeley,Non-commercial,2023/4,https://bair.berkeley.edu/blog/2023/04/03/koala/
152,152,ChatGLM3-6B,955,+8/-7,4766,Tsinghua,Apache-2.0,2023/10,https://huggingface.co/THUDM/chatglm3-6b
154,152,GPT4All-13B-Snoozy,932,+14/-13,1787,Nomic AI,Non-commercial,2023/3,https://huggingface.co/nomic-ai/gpt4all-13b-snoozy
154,152,MPT-7B-Chat,928,+9/-10,4012,MosaicML,CC-BY-NC-SA-4.0,2023/5,https://huggingface.co/mosaicml/mpt-7b-chat
154,157,ChatGLM2-6B,924,+10/-13,2708,Tsinghua,Apache-2.0,2023/6,https://huggingface.co/THUDM/chatglm2-6b
154,155,RWKV-4-Raven-14B,922,+10/-8,4933,RWKV,Apache 2.0,2023/4,https://huggingface.co/BlinkDL/rwkv-4-raven
158,152,Alpaca-13B,902,+8/-9,5873,Stanford,Non-commercial,2023/3,https://crfm.stanford.edu/2023/03/13/alpaca.html
158,158,OpenAssistant-Pythia-12B,893,+8/-9,6381,OpenAssistant,Apache 2.0,2023/4,https://huggingface.co/OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5
159,160,ChatGLM-6B,879,+8/-7,4991,Tsinghua,Non-commercial,2023/3,https://huggingface.co/THUDM/chatglm-6b
160,160,FastChat-T5-3B,868,+8/-7,4300,LMSYS,Apache 2.0,2023/4,https://huggingface.co/lmsys/fastchat-t5-3b-v1.0
162,163,StableLM-Tuned-Alpha-7B,840,+10/-11,3338,Stability AI,CC-BY-NC-SA-4.0,2023/4,https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b
162,160,Dolly-V2-12B,822,+11/-10,3484,Databricks,MIT,2023/4,https://huggingface.co/databricks/dolly-v2-12b
164,162,LLaMA-13B,799,+11/-11,2444,Meta,Non-commercial,2023/2,https://arxiv.org/abs/2302.13971
