rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
37,28,Qwen3-235B-A22B,1365,+5/-5,20489,Alibaba,Apache 2.0,,https://qwenlm.github.io/blog/qwen3/
38,29,o1-2024-12-17,1365,+4/-4,29038,OpenAI,Proprietary,,https://openai.com/index/o1-and-new-tools-for-developers/
39,32,Gemini-2.0-Flash-001,1362,+3/-3,41036,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1121&model=gemini-2.0-flash-001
40,32,o4-mini-2025-04-16,1362,+5/-5,24472,OpenAI,Proprietary,,https://openai.com/index/introducing-o3-and-o4-mini/
41,32,Grok-3-mini-high,1361,+6/-6,10194,xAI,Proprietary,,https://docs.x.ai/docs/models
42,32,Grok-3-Mini-beta,1360,+5/-5,16845,xAI,Proprietary,,https://docs.x.ai/docs/models
43,33,Qwen3-Coder-480B-A35B-Instruct,1357,+7/-7,6012,Alibaba,Apache 2.0,,https://qwenlm.github.io/blog/qwen3-coder/
44,36,Gemma-3-27B-it,1357,+4/-4,32176,Google,Gemma,,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-27b-it
45,39,ChatGPT-4o-latest (2024-09-03),1354,+4/-4,48669,OpenAI,Proprietary,2023/10,https://help.openai.com/en/articles/9624314-model-release-notes
46,39,Minimax-M1,1354,+5/-5,17524,MiniMax,Apache 2.0,,https://www.minimax.io/news/minimaxm1
47,40,o1-preview,1353,+4/-4,33177,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/o1
48,41,Claude Sonnet 4 (thinking-32k),1350,+5/-5,17124,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-4
49,44,Qwen3-32B,1341,+9/-9,4074,Alibaba,Apache 2.0,,https://qwenlm.github.io/blog/qwen3/
50,46,Nvidia-Llama-3.3-Nemotron-Super-49B-v1.5,1339,+10/-10,3106,Nvidia,Nvidia Open,,https://huggingface.co/nvidia/Llama-3_3-Nemotron-Super-49B-v1_5
51,49,o3-mini-high,1338,+5/-5,19404,OpenAI,Proprietary,,https://platform.openai.com/docs/guides/reasoning#reasoning-effort
52,49,Claude Sonnet 4 (20250514),1338,+5/-5,22629,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-4
53,49,GPT-4.1-mini-2025-04-14,1336,+5/-5,23892,OpenAI,Proprietary,,https://openai.com/index/gpt-4-1/
54,49,Mistral-Small-2506,1335,+6/-6,9147,Mistral,Apache 2.0,,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506
55,49,Gemma-3-12B-it,1335,+9/-9,3976,Google,Gemma,,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-12b-it
56,49,ChatGPT-4o-latest (2024-08-08),1334,+3/-3,35503,OpenAI,Proprietary,2023/10,https://x.com/OpenAIDevs/status/1823510395619000525
57,49,DeepSeek-V3,1333,+4/-4,22841,DeepSeek,DeepSeek,,https://huggingface.co/deepseek-ai/DeepSeek-V3
58,49,GLM-4-Plus-0111,1332,+8/-8,6028,Zhipu,Proprietary,,https://bigmodel.cn/dev/howuse/glm-4
59,49,QwQ-32B,1331,+4/-4,22178,Alibaba,Apache 2.0,,https://huggingface.co/Qwen/QwQ-32B
60,49,Gemini-2.0-Flash-Lite,1330,+4/-4,26104,Google,Proprietary,,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-lite
61,49,Qwen-Plus-0125,1327,+8/-8,6055,Alibaba,Proprietary,,https://www.alibabacloud.com/help/en/model-studio/developer-reference/what-is-qwen-llm
62,54,Command A (03-2025),1326,+4/-4,30944,Cohere,CC-BY-NC-4.0,,https://cohere.com/blog/command-a
63,57,Amazon-Nova-Experimental-Chat-05-14,1322,+5/-5,13900,Amazon,Proprietary,,https://nova.amazon.com/faqs
64,55,Step-2-16K-Exp,1320,+8/-8,5126,StepFun,Proprietary,,https://platform.stepfun.com/docs/llm/text
65,52,Llama-3.1-Nemotron-Ultra-253B-v1,1320,+11/-11,2656,Nvidia,Nvidia Open Model,,https://huggingface.co/nvidia/Llama-3_1-Nemotron-Ultra-253B-v1
66,60,Qwen3-30B-A3B,1320,+5/-5,20360,Alibaba,Apache 2.0,,https://qwenlm.github.io/blog/qwen3/
67,61,Gemini-1.5-Pro-002,1320,+3/-3,58645,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-pro-002
68,53,Hunyuan-TurboS-20250226,1320,+10/-10,2452,Tencent,Proprietary,,https://cloud.tencent.com/document/product/1729/104753
69,61,o1-mini,1318,+3/-3,54951,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/o1
70,61,o3-mini,1318,+3/-3,43216,OpenAI,Proprietary,,https://openai.com/index/openai-o3-mini/
71,62,Claude 3.7 Sonnet (thinking-32k),1317,+4/-4,32592,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-3-7-sonnet
72,62,Gemini-1.5-Pro-Exp-0827,1316,+4/-4,32262,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro-exp-0827
73,62,Gemini-1.5-Pro-Exp-0801,1315,+4/-4,25988,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro-exp-0801
74,60,Hunyuan-Turbo-0110,1313,+10/-10,2510,Tencent,Proprietary,,https://cloud.tencent.com/document/product/1729/104753
75,62,Llama-3.3-Nemotron-Super-49B-v1,1309,+11/-11,2371,Nvidia,Nvidia,,https://huggingface.co/nvidia/Llama-3_3-Nemotron-Super-49B-v1
76,73,Grok-2-08-13,1305,+3/-3,67084,xAI,Proprietary,2024/3,https://x.ai/blog/grok-2
77,71,Gemma-3n-e4b-it,1305,+6/-6,13182,Google,Gemma,,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3n-e4b-it
78,74,Yi-Lightning,1303,+4/-4,28968,01 AI,Proprietary,,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B%E4%B8%8E%E8%AE%A1%E8%B4%B9
79,74,GPT-4o-2024-05-13,1302,+3/-3,117747,OpenAI,Proprietary,2023/10,https://openai.com/index/hello-gpt-4o/
80,74,Claude 3.7 Sonnet,1301,+4/-4,37645,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-3-7-sonnet
81,74,Qwen2.5-plus-1127,1300,+6/-6,10715,Alibaba,Proprietary,,https://help.aliyun.com/zh/model-studio/getting-started/models?spm=a2c4g.11186623.0.i7
82,76,Claude 3.5 Sonnet (20241022),1299,+2/-2,84537,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/3-5-models-and-computer-use
83,74,Deepseek-v2.5-1210,1295,+7/-7,7243,DeepSeek,DeepSeek,,https://huggingface.co/deepseek-ai/DeepSeek-V2.5-1210
84,80,Athene-v2-Chat-72B,1293,+4/-4,26074,NexusFlow,NexusFlow,,https://huggingface.co/Nexusflow/Athene-V2-Chat
85,76,Gemma-3-4B-it,1293,+9/-9,4321,Google,Gemma,,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-4b-it
86,81,Llama-4-Maverick-17B-128E-Instruct,1292,+4/-4,24544,Meta,Llama 4,,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct
87,82,GLM-4-Plus,1291,+4/-4,27788,Zhipu AI,Proprietary,,https://bigmodel.cn/dev/howuse/glm-4
88,76,Hunyuan-Large-2025-02-10,1290,+9/-9,3856,Tencent,Proprietary,,https://cloud.tencent.com/document/product/1729/104753
89,83,Gemini-1.5-Flash-002,1289,+3/-3,37021,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-flash-002
90,83,GPT-4o-mini-2024-07-18,1288,+3/-3,72427,OpenAI,Proprietary,2023/10,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
91,82,GPT-4.1-nano-2025-04-14,1287,+7/-7,6302,OpenAI,Proprietary,,https://openai.com/index/gpt-4-1/
92,83,Meta-Llama-3.1-405B-Instruct-bf16,1286,+3/-3,43788,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/
93,84,GPT-4o-2024-08-06,1285,+3/-3,47973,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/gpt-4o
94,83,Llama-3.1-Nemotron-70B-Instruct,1284,+7/-7,7577,Nvidia,Llama 3.1,2023/12,https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct
95,83,Qwen-Max-0919,1284,+5/-5,17432,Alibaba,Qwen,,https://help.aliyun.com/zh/dashscope/developer-reference/model-introduction
96,84,Gemini-1.5-Flash-Exp-0827,1284,+4/-4,25409,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash-exp-0827
97,85,Meta-Llama-3.1-405B-Instruct-fp8,1284,+3/-3,63038,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/
98,84,Yi-Lightning-lite,1283,+5/-5,17067,01 AI,Proprietary,,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B%E4%B8%8E%E8%AE%A1%E8%B4%B9
99,87,Grok-2-Mini-08-13,1283,+3/-3,55442,xAI,Proprietary,2024/3,https://x.ai/blog/grok-2
100,87,Claude 3.5 Sonnet (20240620),1283,+3/-3,86159,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/claude-3-5-sonnet
101,89,Gemini Advanced App (2024-05-14),1280,+4/-4,52144,Google,Proprietary,Online,https://gemini.google.com/advanced
102,95,Gemini-1.5-Pro-001,1276,+3/-3,82435,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro
103,91,Llama-4-Scout-17B-16E-Instruct,1276,+5/-5,14153,Meta,Llama,,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct
104,88,Hunyuan-Standard-2025-02-10,1276,+9/-9,4014,Tencent,Proprietary,,https://cloud.tencent.com/document/product/1729/104753
105,99,Llama-3.3-70B-Instruct,1275,+3/-3,51931,Meta,Llama-3.3,,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct
106,100,GPT-4-Turbo-2024-04-09,1274,+3/-3,102133,OpenAI,Proprietary,2023/12,https://platform.openai.com/docs/models/gpt-4-turbo-and-gpt-4
107,99,Deepseek-v2.5,1274,+4/-4,26344,DeepSeek,DeepSeek,,https://huggingface.co/deepseek-ai/DeepSeek-V2.5
108,100,Gemini-1.5-Pro-Preview-0409,1273,+4/-4,55569,Google,Proprietary,2023/11,https://blog.google/technology/ai/google-gemini-next-generation-model-february-2024/
109,101,Qwen2.5-72B-Instruct,1272,+3/-3,41519,Alibaba,Qwen,2024/9,https://qwenlm.github.io/blog/qwen2.5/
110,99,Hunyuan-Large-Vision,1270,+8/-8,6093,Tencent,Proprietary,,https://cloud.tencent.com/document/product/1729/104753#d6cb04da-053d-4bed-b187-191514feb972
111,102,Mistral-Large-2407,1269,+3/-3,48217,Mistral,Mistral Research,2024/7,https://mistral.ai/news/mistral-large-2407/
112,102,Mistral-Small-3.1-24B-Instruct-2503,1269,+5/-5,14091,Mistral,Apache 2.0,,https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503
113,102,Mistral-Large-2411,1268,+4/-4,29633,Mistral,MRL,,https://huggingface.co/mistralai/Mistral-Large-Instruct-2411
114,102,Athene-70B,1267,+5/-5,20580,NexusFlow,CC-BY-NC-4.0,2024/7,https://huggingface.co/Nexusflow/Athene-70B
115,107,GPT-4-1106-preview,1266,+3/-3,103748,OpenAI,Proprietary,2023/4,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
116,107,GPT-4-0125-preview,1265,+3/-3,97079,OpenAI,Proprietary,2023/12,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
117,109,Claude 3 Opus,1265,+2/-2,202641,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
118,109,Meta-Llama-3.1-70B-Instruct,1264,+3/-3,58637,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/
119,111,Amazon Nova Pro 1.0,1261,+4/-4,26371,Amazon,Proprietary,,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html
120,107,Llama-3.1-Tulu-3-70B,1259,+10/-10,3010,Ai2,Llama 3.1,,https://huggingface.co/allenai/Llama-3.1-Tulu-3-70B
121,114,Yi-Large-preview,1258,+4/-4,51628,01 AI,Proprietary,Unknown,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B
122,119,Claude 3.5 Haiku (20241022),1255,+3/-3,55928,Anthropic,Propretary,,https://www.anthropic.com/news/3-5-models-and-computer-use
123,119,magistral-medium-2506,1252,+7/-7,8534,Mistral,Proprietary,,https://mistral.ai/news/magistral
124,119,Reka-Core-20240904,1251,+6/-6,7948,Reka AI,Proprietary,,https://docs.reka.ai/available-models
125,120,Reka-Core-20240722,1249,+6/-6,13279,Reka AI,Proprietary,,https://docs.reka.ai/available-models
126,123,Gemini-1.5-Flash-001,1243,+4/-4,65661,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash
127,123,Qwen-Plus-0828,1242,+5/-5,14626,Alibaba,Proprietary,,https://help.aliyun.com/zh/model-studio/getting-started/models
128,123,Jamba-1.5-Large,1241,+6/-6,9125,AI21 Labs,Jamba Open,2024/3,https://www.ai21.com/jamba
129,125,Deepseek-v2-API-0628,1239,+5/-5,19508,DeepSeek AI,DeepSeek,,https://platform.deepseek.com/api-docs/updates#deepseek-chat
130,125,Mistral-Small-24B-Instruct-2501,1238,+5/-5,15321,Mistral,Apache 2.0,,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501
131,125,Deepseek-Coder-v2-0724,1236,+6/-6,11725,DeepSeek,Proprietary,,https://platform.deepseek.com/api-docs/updates/#version-2024-07-24
132,126,Yi-Large,1235,+6/-6,16624,01 AI,Proprietary,Unknown,https://platform.01.ai/docs#models-and-pricing
133,127,Gemma-2-27B-it,1235,+2/-2,79538,Google,Gemma license,2024/6,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-27b-it
134,126,Qwen2.5-Coder-32B-Instruct,1234,+7/-7,5730,Alibaba,Apache 2.0,,https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct
135,126,Command R+ (08-2024),1233,+6/-6,10535,Cohere,CC-BY-NC-4.0,2024/8,https://docs.cohere.com/docs/command-r-plus#model-details
136,127,Amazon Nova Lite 1.0,1233,+4/-4,20646,Amazon,Proprietary,,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html
137,126,Gemma-2-9B-it-SimPO,1232,+6/-6,10548,Princeton,MIT,2024/7,https://huggingface.co/princeton-nlp/gemma-2-9b-it-SimPO
138,126,Llama-3.1-Nemotron-51B-Instruct,1231,+9/-9,3889,Nvidia,Llama 3.1,2023/12,https://huggingface.co/nvidia/Llama-3_1-Nemotron-51B-Instruct
139,128,Gemini-1.5-Flash-8B-001,1230,+3/-3,37697,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-flash-8b
140,127,GLM-4-0520,1230,+6/-6,10221,Zhipu AI,Proprietary,Unknown,https://open.bigmodel.cn/dev/api#language
141,130,Nemotron-4-340B-Instruct,1229,+4/-4,20608,Nvidia,NVIDIA Open Model,2023/6,https://huggingface.co/nvidia/Nemotron-4-340B-Instruct
142,130,Aya-Expanse-32B,1228,+4/-4,28768,Cohere,CC-BY-NC-4.0,,https://huggingface.co/CohereForAI/aya-expanse-32b
143,128,Gemini App (2024-01-24),1227,+8/-8,11833,Google,Proprietary,Online,https://gemini.google.com/app
144,132,Reka-Flash-20240904,1224,+6/-6,8132,Reka AI,Proprietary,,https://docs.reka.ai/available-models
145,135,Llama-3-70B-Instruct,1224,+3/-3,163629,Meta,Llama 3 Community,2023/12,https://llama.meta.com/llama3/
146,130,OLMo-2-0325-32B-Instruct,1223,+10/-10,3460,Allen AI,Apache-2.0,,https://huggingface.co/allenai/OLMo-2-0325-32B-Instruct
147,138,Claude 3 Sonnet,1222,+3/-3,113067,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
148,138,Phi-4,1222,+4/-4,25213,Microsoft,MIT,,https://huggingface.co/microsoft/phi-4
149,138,Gemini-1.5-Flash-8B-Exp-0827,1221,+4/-4,25346,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash-8b-exp-0827
150,142,Reka-Core-20240501,1217,+3/-3,62555,Reka AI,Proprietary,,https://www.reka.ai/news/reka-core-our-frontier-class-multimodal-language-model
151,142,Reka-Flash-20240722,1217,+6/-6,13725,Reka AI,Proprietary,,https://docs.reka.ai/available-models
152,144,Amazon Nova Micro 1.0,1214,+4/-4,20654,Amazon,Proprietary,,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html
153,149,Gemma-2-9B-it,1212,+3/-3,57197,Google,Gemma license,2024/6,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-9b-it
154,149,GPT-4-0314,1210,+4/-4,55962,OpenAI,Proprietary,2021/9,https://openai.com/research/gpt-4
155,151,Command R+ (04-2024),1208,+3/-3,80846,Cohere,CC-BY-NC-4.0,2024/3,https://txt.cohere.com/command-r-plus-microsoft-azure/
156,144,Hunyuan-Standard-256K,1208,+11/-11,2901,Tencent,Proprietary,,https://cloud.tencent.com/document/product/1729/104753
157,151,Qwen2-72B-Instruct,1208,+4/-4,38872,Alibaba,Qianwen LICENSE,2024/6,https://qwenlm.github.io/blog/qwen2/
158,156,Claude 3 Haiku,1200,+3/-3,122309,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
159,153,Llama-3.1-Tulu-3-8B,1199,+10/-10,3074,Ai2,Llama 3.1,,https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B
160,156,Qwen-Max-0428,1199,+5/-5,25696,Alibaba,Proprietary,,https://help.aliyun.com/zh/dashscope/developer-reference/api-details
161,154,GLM-4-0116,1198,+9/-9,7579,Zhipu AI,Proprietary,Unknown,https://open.bigmodel.cn/
162,154,Ministral-8B-2410,1198,+8/-8,5111,Mistral,MRL,,https://huggingface.co/mistralai/Ministral-8B-Instruct-2410
163,157,DeepSeek-Coder-V2-Instruct,1196,+6/-6,15753,DeepSeek AI,DeepSeek License,2024/6,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct
164,157,Command R (08-2024),1195,+6/-6,10851,Cohere,CC-BY-NC-4.0,2024/8,https://docs.cohere.com/docs/command-r-plus#model-details
165,157,Aya-Expanse-8B,1193,+6/-6,10391,Cohere,CC-BY-NC-4.0,,https://huggingface.co/CohereForAI/aya-expanse-8b
166,157,Jamba-1.5-Mini,1193,+6/-6,9274,AI21 Labs,Jamba Open,2024/3,https://www.ai21.com/jamba
167,159,Meta-Llama-3.1-8B-Instruct,1193,+3/-3,52578,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/
168,159,GPT-4-0613,1191,+3/-3,91614,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo
169,159,Reka-Flash-Preview-20240611,1188,+5/-5,20427,Reka AI,Proprietary,,https://docs.reka.ai/http-api.html#generation
170,169,Mistral-Large-2402,1181,+4/-4,64926,Mistral,Proprietary,,https://mistral.ai/news/mistral-large/
171,169,Qwen1.5-110B-Chat,1180,+5/-5,27430,Alibaba,Qianwen LICENSE,2024/4,https://qwenlm.github.io/blog/qwen1.5-110b/
172,169,Claude-1,1178,+6/-6,21149,Anthropic,Proprietary,,https://www.anthropic.com/index/introducing-claude
173,170,Yi-1.5-34B-Chat,1178,+4/-4,25135,01 AI,Apache-2.0,2024/5,https://huggingface.co/01-ai/Yi-1.5-34B-Chat
174,169,Reka-Flash-21B-online,1176,+7/-7,16027,Reka AI,Proprietary,Online,https://docs.reka.ai/http-api.html#generation
175,170,Qwen1.5-72B-Chat,1171,+4/-4,40658,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/
176,172,Llama-3-8B-Instruct,1171,+3/-3,109056,Meta,Llama 3 Community,2023/3,https://llama.meta.com/llama3/
177,171,Mistral Medium,1170,+5/-5,35556,Mistral,Proprietary,,https://mistral.ai/news/la-plateforme/
178,171,Reka-Flash-21B,1170,+5/-5,25803,Reka AI,Proprietary,2023/11,https://www.reka.ai/news/reka-flash-efficient-and-capable-multimodal-language-models
179,170,QwQ-32B-Preview,1170,+10/-10,3410,Alibaba,Apache 2.0,,https://huggingface.co/Qwen/QwQ-32B-Preview
180,172,Command R (04-2024),1169,+4/-4,56398,Cohere,CC-BY-NC-4.0,2024/3,https://txt.cohere.com/command-r
181,172,InternLM2.5-20B-chat,1168,+6/-6,10599,InternLM,Other,2024/8,https://huggingface.co/internlm/internlm2_5-20b-chat
182,173,Mixtral-8x22b-Instruct-v0.1,1167,+4/-4,53751,Mistral,Apache 2.0,2024/4,https://mistral.ai/news/mixtral-8x22b/
183,176,Gemma-2-2b-it,1163,+3/-3,48892,Google,Gemma license,2024/7,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-2b-it
184,177,Claude-2.0,1158,+8/-8,12763,Anthropic,Proprietary,,https://www.anthropic.com/index/claude-2
185,175,Granite-3.1-8B-Instruct,1157,+10/-10,3289,IBM,Apache 2.0,,https://huggingface.co/ibm-granite/granite-3.1-8b-instruct
186,181,Gemini-1.0-Pro-001,1154,+7/-7,18800,Google,Proprietary,2023/4,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.0-pro
187,181,Mistral-Next,1153,+8/-8,12375,Mistral,Proprietary,,https://chat.mistral.ai/chat
188,182,Zephyr-ORPO-141b-A35b-v0.1,1150,+10/-10,4854,HuggingFace,Apache 2.0,2024/4,https://huggingface.co/HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1
189,184,Claude-2.1,1146,+6/-6,37699,Anthropic,Proprietary,,https://www.anthropic.com/index/claude-2-1
190,184,GPT-3.5-Turbo-0613,1145,+5/-5,38955,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-3-5
191,184,Qwen1.5-32B-Chat,1144,+5/-5,22765,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5-32b/
192,185,Phi-3-Medium-4k-Instruct,1143,+4/-4,26105,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-medium-4k-instruct
