rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
59,53,Gemini-1.5-Flash-8B-001,1090,+10/-10,6355,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-flash-8b
60,53,Step-1V-32K,1089,+18/-18,1553,StepFun,Proprietary,,https://platform.stepfun.com/docs/llm/vision
61,60,Claude 3 Opus,1066,+9/-9,15943,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
62,60,Molmo-72B-0924,1059,+13/-13,3092,AI2,Apache 2.0,,https://huggingface.co/allenai/Molmo-72B-0924
63,61,Pixtral-12B-2409,1056,+9/-9,7623,Mistral,Apache 2.0,2024/9,https://mistral.ai/news/pixtral-12b/
64,61,InternVL2-26B,1052,+14/-14,5265,OpenGVLab,MIT,2024/7,https://internvl.github.io/blog/2024-07-02-InternVL-2.0/
65,61,Gemini-1.5-Flash-001,1050,+13/-13,13585,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash
66,62,Llama-3.2-90B-Vision-Instruct,1046,+9/-9,8829,Meta,Llama 3.2,2023/11,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/
67,61,Hunyuan-Standard-Vision-2024-12-31,1044,+23/-23,811,Tencent,Proprietary,,https://cloud.tencent.com/document/product/1729/104753
68,61,Aya-Vision-32B,1036,+22/-22,849,Cohere,CC-BY-NC-4.0,,https://huggingface.co/CohereForAI/aya-vision-32b
69,64,Qwen2-VL-7B-Instruct,1034,+10/-10,5854,Aliaba,Apache 2.0,,https://huggingface.co/Qwen/Qwen2-VL-7B-Instruct
70,62,Amazon Nova Lite 1.0,1033,+14/-14,1877,Amazon,Proprietary,,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html
71,64,Claude 3 Sonnet,1029,+12/-12,12679,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
72,62,Yi-Vision,1027,+19/-19,1237,01 AI,Proprietary,2024/7,https://platform.01.ai/docs#models-and-pricing
73,64,Amazon Nova Pro 1.0,1027,+14/-14,2372,Amazon,Proprietary,,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html
74,70,Reka-Flash-Preview-20240611,1008,+12/-12,9068,Reka AI,Proprietary,,https://docs.reka.ai/http-api.html#generation
75,69,Molmo-7B-D-0924,1008,+15/-15,2854,AI2,Apache 2.0,,https://huggingface.co/allenai/Molmo-7B-D-0924
76,70,Llama-3.2-11B-Vision-Instruct,1007,+11/-11,4893,Meta,Llama 3.2,2023/11,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/
77,72,Claude 3 Haiku,1000,+14/-14,13725,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
78,74,Reka-Core-20240501,998,+11/-11,9540,Reka AI,Proprietary,,https://www.reka.ai/news/reka-core-our-frontier-class-multimodal-language-model
79,75,InternVL2-4b,988,+12/-12,3758,OpenGVLab,MIT,2024/7,https://internvl.github.io/blog/2024-07-02-InternVL-2.0/
80,75,NVILA-15B,984,+21/-21,1089,NVIDIA,-,,https://huggingface.co/Efficient-Large-Model/NVILA-15B
81,76,LLaVA-v1.6-34B,984,+11/-11,4685,LLaVA,Apache 2.0,2024/1,https://llava-vl.github.io/blog/2024-01-30-llava-next/
82,78,CogVLM2-llama3-chat-19b,973,+14/-14,2026,Zhipu AI,CogVLM2,2024/7,https://huggingface.co/THUDM/cogvlm2-llama3-chat-19B
83,79,LLaVA-OneVision-qwen2-72B-ov-sft,967,+18/-18,1337,LLaVA,Apache 2.0,2024/8,https://huggingface.co/lmms-lab/llava-onevision-qwen2-72b-ov
84,81,MiniCPM-v 2_6,957,+17/-17,2041,OpenBMB,Apache 2.0,2024/7,https://huggingface.co/openbmb/MiniCPM-V-2_6
85,86,Phi-3.5-vision-instruct,901,+18/-18,2609,Microsoft,MIT,2024/8,https://huggingface.co/microsoft/Phi-3.5-vision-instruct
86,87,Phi-3-Vision-128K-Instruct,862,+18/-18,1436,Microsoft,MIT,2024/3,https://huggingface.co/microsoft/Phi-3-vision-128k-instruct
