t,model,average,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,type,architecture,weight_type,precision,merged,hub_license,params_b,hub_hearts,available_on_the_hub,model_sha,flagged,moe,date,fullname,url
🔶,MTSAIR/MultiVerse_70B,80.98,78.58,89.74,78.27,75.09,87.37,76.8,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,other,72,32,TRUE,ea2b4ff8e5acd7a48993f56b2d7b99e049eb6939,TRUE,TRUE,2024-03-27T09:27:48Z,MTSAIR/MultiVerse_70B,https://huggingface.co/MTSAIR/MultiVerse_70B
🔶,davidkim205/Rhea-72b-v0.2,80.95,77.56,90.84,77.98,74.5,86.35,78.47,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,"",72,0,FALSE,c51bcf1a3dc3c5e512e805f52d5e15384d798ba7,TRUE,TRUE,2024-03-19T09:05:23Z,davidkim205/Rhea-72b-v0.2,https://huggingface.co/davidkim205/Rhea-72b-v0.2
🔶,davidkim205/Rhea-72b-v0.3,80.85,76.79,89.98,77.47,75.93,85.08,79.83,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,"",72,0,FALSE,7db39c93177958d94ebc3b719f8bfc75826b345e,TRUE,TRUE,2024-03-22T15:05:55Z,davidkim205/Rhea-72b-v0.3,https://huggingface.co/davidkim205/Rhea-72b-v0.3
🔶,SF-Foundation/Ein-72B-v0.11,80.81,76.79,89.02,77.2,79.02,84.06,78.77,🔶 fine-tuned on domain-specific datasets,?,Adapter,bfloat16,TRUE,"",72,0,FALSE,40d451f32b1a6c9ad694b32ba8ed4822c27f3022,TRUE,TRUE,2024-02-11T02:46:31Z,SF-Foundation/Ein-72B-v0.11,https://huggingface.co/SF-Foundation/Ein-72B-v0.11
🔶,SF-Foundation/Ein-72B-v0.13,80.79,76.19,89.44,77.07,77.82,84.93,79.3,🔶 fine-tuned on domain-specific datasets,?,Adapter,bfloat16,TRUE,"",72,0,FALSE,1f302e0e15f3d3711778cd61686eb9b28b0c72ae,TRUE,TRUE,2024-02-12T04:12:05Z,SF-Foundation/Ein-72B-v0.13,https://huggingface.co/SF-Foundation/Ein-72B-v0.13
🔶,binbi/Ein-72B-v0.1,80.79,76.54,89.2,77.11,78.47,84.06,79.38,🔶 fine-tuned on domain-specific datasets,?,Adapter,float16,TRUE,"",72,0,FALSE,84ec4c0fcefc5af86f649a70c9d3ff493334e868,TRUE,TRUE,2024-02-04T00:59:30Z,binbi/Ein-72B-v0.1,https://huggingface.co/binbi/Ein-72B-v0.1
🔶,SF-Foundation/Ein-72B-v0.12,80.72,76.19,89.46,77.17,77.78,84.45,79.23,🔶 fine-tuned on domain-specific datasets,?,Adapter,bfloat16,TRUE,"",72,0,FALSE,84d38e29fec0dc9c274237968fdafe9396702f9b,TRUE,TRUE,2024-02-11T23:02:50Z,SF-Foundation/Ein-72B-v0.12,https://huggingface.co/SF-Foundation/Ein-72B-v0.12
🔶,abacusai/Smaug-72B-v0.1,80.48,76.02,89.27,77.15,76.67,85.08,78.7,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,other,72,452,TRUE,54a8c35600ec5cb30ca2129247854ece23e57f57,TRUE,TRUE,2024-02-03T18:49:25Z,abacusai/Smaug-72B-v0.1,https://huggingface.co/abacusai/Smaug-72B-v0.1
🔶,ibivibiv/alpaca-dragon-72b-v1,79.3,73.89,88.16,77.4,72.69,86.03,77.63,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,other,72,23,TRUE,4df251a558c53b6b6a4c459045b161951cfc3c4e,TRUE,TRUE,2024-02-06T23:43:35Z,ibivibiv/alpaca-dragon-72b-v1,https://huggingface.co/ibivibiv/alpaca-dragon-72b-v1
💬,mistralai/Mixtral-8x22B-Instruct-v0.1,79.15,72.7,89.08,77.77,68.14,85.16,82.03,"💬 chat models (RLHF, DPO, IFT, ...)",MixtralForCausalLM,Original,bfloat16,TRUE,apache-2.0,140,600,TRUE,eb69dca9c68bbdcffd5f522f632d5c04ab6c65b3,TRUE,FALSE,2024-04-17T15:30:22Z,mistralai/Mixtral-8x22B-Instruct-v0.1,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1
💬,MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.2,78.96,72.53,86.22,80.41,63.57,82.79,88.25,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,TRUE,llama3,70,8,TRUE,0ef6aba21c4537fe693c4160b820efb28270705b,TRUE,TRUE,2024-05-01T17:04:08Z,MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.2,https://huggingface.co/MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.2
💬,MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.4,78.89,72.61,86.03,80.5,63.26,83.58,87.34,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,TRUE,llama3,70,10,TRUE,5a44e1d115e991a9814b9dd96fa60132ced9b99f,TRUE,TRUE,2024-05-01T17:05:18Z,MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.4,https://huggingface.co/MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.4
💬,MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.3,78.74,72.35,86,80.47,63.45,82.95,87.19,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,TRUE,llama3,70,2,TRUE,17f4cce3f08bc798516839315b07f0c8e05d6611,TRUE,TRUE,2024-05-01T17:04:37Z,MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.3,https://huggingface.co/MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.3
💬,mmnga/Llama-3-70B-japanese-suzume-vector-v0.1,78.6,72.35,85.81,80.28,62.93,82.79,87.41,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,TRUE,llama3,70,2,TRUE,16f98b2d45684af2c4a9ff5da75b00ef13cca808,TRUE,TRUE,2024-05-05T10:30:19Z,mmnga/Llama-3-70B-japanese-suzume-vector-v0.1,https://huggingface.co/mmnga/Llama-3-70B-japanese-suzume-vector-v0.1
💬,moreh/MoMo-72B-lora-1.8.7-DPO,78.55,70.82,85.96,77.13,74.71,84.06,78.62,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,TRUE,mit,72,67,TRUE,c64edea08b27be1e7e2ae6a95bcdd74849cb887e,TRUE,TRUE,2024-01-22T00:16:35Z,moreh/MoMo-72B-lora-1.8.7-DPO,https://huggingface.co/moreh/MoMo-72B-lora-1.8.7-DPO
💬,tenyx/Llama3-TenyxChat-70B,78.4,72.1,86.21,80.04,62.85,82.95,86.28,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,TRUE,llama3,70,59,TRUE,de770dc2c767b50b17bef491ec6983c29e60f668,TRUE,FALSE,2024-04-27T17:40:55Z,tenyx/Llama3-TenyxChat-70B,https://huggingface.co/tenyx/Llama3-TenyxChat-70B
🔶,failspy/llama-3-70B-Instruct-abliterated,78.26,72.01,86.02,79.97,63.15,83.11,85.29,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,llama3,70,58,TRUE,53ae9dafe8b3d163e05d75387575f8e9f43253d0,TRUE,TRUE,2024-05-08T05:23:55Z,failspy/llama-3-70B-Instruct-abliterated,https://huggingface.co/failspy/llama-3-70B-Instruct-abliterated
💬,abhishek/autotrain-llama3-70b-orpo-v2,78.17,70.9,86.09,80.07,62.82,84.93,84.23,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,TRUE,other,70,1,TRUE,a2c16a8a7fa48792eb8a1f0c50e13309c2021a63,TRUE,TRUE,2024-05-04T21:00:31Z,abhishek/autotrain-llama3-70b-orpo-v2,https://huggingface.co/abhishek/autotrain-llama3-70b-orpo-v2
🔶,4season/final_model_test_v2,78.14,77.73,90.86,67.86,79.16,86.27,66.94,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,"",21,0,FALSE,cf690c35d9cf0b0b6bf034fa16dbf88c56fe861c,TRUE,TRUE,2024-05-20T17:16:00Z,4season/final_model_test_v2,https://huggingface.co/4season/final_model_test_v2
🔶,saltlux/luxia-21.4b-alignment-v1.2,78.14,77.73,90.86,67.86,79.16,86.27,66.94,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,apache-2.0,21,4,TRUE,e318e0a864db847b4020cbc8d23035dae08522ab,TRUE,TRUE,2024-05-27T14:08:06Z,saltlux/luxia-21.4b-alignment-v1.2,https://huggingface.co/saltlux/luxia-21.4b-alignment-v1.2
💬,MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.1,78.11,71.67,85.83,80.12,62.11,82.87,86.05,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,TRUE,llama3,70,8,TRUE,99d755d89cfbb28f19179d07f02876720646a767,TRUE,TRUE,2024-04-26T19:35:47Z,MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.1,https://huggingface.co/MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.1
🔶,abhishek/autotrain-llama3-70b-orpo-v1,78.08,70.65,85.99,80.11,61.78,84.29,85.67,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,other,70,3,TRUE,053236c6846cc561c1503ba05e2b28c94855a432,TRUE,TRUE,2024-05-03T07:57:16Z,abhishek/autotrain-llama3-70b-orpo-v1,https://huggingface.co/abhishek/autotrain-llama3-70b-orpo-v1
🔶,failspy/llama-3-70B-Instruct-abliterated,78.08,71.84,86.04,79.8,63.18,82.4,85.22,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,llama3,70,58,TRUE,53ae9dafe8b3d163e05d75387575f8e9f43253d0,TRUE,TRUE,2024-05-07T19:45:27Z,failspy/llama-3-70B-Instruct-abliterated,https://huggingface.co/failspy/llama-3-70B-Instruct-abliterated
🔶,cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO_f16,77.91,74.06,86.74,76.65,72.24,83.35,74.45,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,TRUE,other,60,15,TRUE,cd29cfa124072c96ba8601230bead65d76e04dcb,TRUE,FALSE,2024-02-03T13:36:59Z,cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO_f16,https://huggingface.co/cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO_f16
💬,meta-llama/Meta-Llama-3-70B-Instruct,77.88,71.42,85.69,80.06,61.81,82.87,85.44,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,TRUE,llama3,70,1131,TRUE,5fcb2901844dde3111159f24205b71c25900ffbd,TRUE,TRUE,2024-04-18T17:05:16Z,meta-llama/Meta-Llama-3-70B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct
🔶,4season/merge_model_test_v2,77.82,79.35,89.75,67.89,71.58,86.58,71.8,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,FALSE,apache-2.0,21,0,TRUE,e9542d2e5f8ede339a2917b37f2c570f2847becc,TRUE,TRUE,2024-05-20T06:12:52Z,4season/merge_model_test_v2,https://huggingface.co/4season/merge_model_test_v2
🔶,fblgit/UNA-ThePitbull-21.4B-v2,77.82,77.73,91.79,68.25,78.24,87.37,63.53,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,afl-3.0,21,10,TRUE,6f59176110b23838a01fc401512df3ada96e9557,TRUE,TRUE,2024-05-28T12:13:22Z,fblgit/UNA-ThePitbull-21.4B-v2,https://huggingface.co/fblgit/UNA-ThePitbull-21.4B-v2
🔶,saltlux/luxia-21.4b-alignment-v1.0,77.74,77.47,91.88,68.1,79.17,87.45,62.4,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,apache-2.0,21,32,TRUE,ba3403eaafc6d1f6e3a73245314ee96025c08d96,TRUE,TRUE,2024-03-11T03:09:26Z,saltlux/luxia-21.4b-alignment-v1.0,https://huggingface.co/saltlux/luxia-21.4b-alignment-v1.0
🔶,fblgit/UNA-ThePitbull-21.4-v1,77.66,77.9,91.81,68.07,79.24,87.29,61.64,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,afl-3.0,21,5,TRUE,125288b68a54f1ec42877a53e6bbdcfbc5375e1d,TRUE,TRUE,2024-05-27T06:01:02Z,fblgit/UNA-ThePitbull-21.4-v1,https://huggingface.co/fblgit/UNA-ThePitbull-21.4-v1
🔶,HanNayeoniee/LHK_DPO_v1,77.62,74.74,89.3,64.9,79.89,88.32,68.54,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,TRUE,"",12,0,FALSE,4e2c0a8fb1a1654312a573e85fec79832bfa489c,TRUE,TRUE,2024-02-12T14:27:24Z,HanNayeoniee/LHK_DPO_v1,https://huggingface.co/HanNayeoniee/LHK_DPO_v1
🔶,cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_full_linear_DPO,77.52,74.06,86.67,76.69,71.32,83.43,72.93,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,TRUE,other,60,2,TRUE,e8e558b5fd4ac9da839577b1295d10ca75fc2663,TRUE,FALSE,2024-02-05T07:10:37Z,cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_full_linear_DPO,https://huggingface.co/cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_full_linear_DPO
🔶,saltlux/luxia-21.4b-alignment-v0.2,77.51,76.71,91.61,68.27,79.8,87.06,61.64,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,"",21,0,FALSE,59243de958296a4516f72ebfb1b597188dd59229,TRUE,TRUE,2024-03-11T17:08:55Z,saltlux/luxia-21.4b-alignment-v0.2,https://huggingface.co/saltlux/luxia-21.4b-alignment-v0.2
🔶,zhengr/MixTAO-7Bx2-MoE-v8.1,77.5,73.81,89.22,64.92,78.57,87.37,71.11,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,TRUE,apache-2.0,12,45,TRUE,2d8cff968dbfb31e0c1ccc42053ccc4d2698a390,TRUE,FALSE,2024-02-26T07:46:08Z,zhengr/MixTAO-7Bx2-MoE-v8.1,https://huggingface.co/zhengr/MixTAO-7Bx2-MoE-v8.1
💬,yunconglong/Truthful_DPO_TomGrc_FusionNet_7Bx2_MoE_13B,77.44,74.91,89.3,64.67,78.02,88.24,69.52,"💬 chat models (RLHF, DPO, IFT, ...)",MixtralForCausalLM,Original,bfloat16,TRUE,mit,12,52,TRUE,915651208ea9f40c65a60d1f971a09f9461ee691,TRUE,FALSE,2024-01-21T09:10:58Z,yunconglong/Truthful_DPO_TomGrc_FusionNet_7Bx2_MoE_13B,https://huggingface.co/yunconglong/Truthful_DPO_TomGrc_FusionNet_7Bx2_MoE_13B
🔶,JaeyeonKang/CCK_Asura_v1,77.43,73.89,89.07,75.44,71.75,86.35,68.08,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,"",68,0,FALSE,7dd3ddea090bd63f3143e70d7d6237cc40c046e4,TRUE,TRUE,2024-02-11T22:52:45Z,JaeyeonKang/CCK_Asura_v1,https://huggingface.co/JaeyeonKang/CCK_Asura_v1
🔶,fblgit/UNA-SimpleSmaug-34b-v1beta,77.41,74.57,86.74,76.68,70.17,83.82,72.48,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,apache-2.0,34,20,TRUE,e1cdc5b02c662c5f29a50d0b22c64a8902ca856b,TRUE,TRUE,2024-02-05T13:24:35Z,fblgit/UNA-SimpleSmaug-34b-v1beta,https://huggingface.co/fblgit/UNA-SimpleSmaug-34b-v1beta
🔶,TomGrc/FusionNet_34Bx2_MoE_v0.1,77.38,73.72,86.46,76.72,71.01,83.35,73.01,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,TRUE,mit,60,7,TRUE,6c7ec6d2ca1c0d126a26963fedc9bbdf5210b0d1,TRUE,FALSE,2024-01-30T20:37:25Z,TomGrc/FusionNet_34Bx2_MoE_v0.1,https://huggingface.co/TomGrc/FusionNet_34Bx2_MoE_v0.1
💬,shenzhi-wang/Llama3-70B-Chinese-Chat,77.34,70.39,85.81,79.74,61.1,83.74,83.24,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,TRUE,llama3,70,85,TRUE,9820f8e02b5b091dc5ebbb6442f83ea6a0db4205,TRUE,TRUE,2024-05-10T01:15:11Z,shenzhi-wang/Llama3-70B-Chinese-Chat,https://huggingface.co/shenzhi-wang/Llama3-70B-Chinese-Chat
💬,TwT-6/cr-model-v1,77.32,70.65,87.85,74.73,80.47,83.66,66.57,"💬 chat models (RLHF, DPO, IFT, ...)",Qwen2ForCausalLM,Original,bfloat16,TRUE,cc-by-4.0,14,1,TRUE,4b9fdd5c5f6efe32c6cb1b7636c897610c9d8b65,TRUE,TRUE,2024-05-29T02:42:42Z,TwT-6/cr-model-v1,https://huggingface.co/TwT-6/cr-model-v1
🔶,saltlux/luxia-21.4b-alignment-v0.1,77.32,76.79,91.79,68.18,76.7,87.53,62.93,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,"",21,0,FALSE,88a47c498102132f5262581803fe1ed9252a16bc,TRUE,TRUE,2024-03-11T17:09:10Z,saltlux/luxia-21.4b-alignment-v0.1,https://huggingface.co/saltlux/luxia-21.4b-alignment-v0.1
🔶,migtissera/Tess-72B-v1.5b,77.3,71.25,85.53,76.63,71.99,81.45,76.95,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,other,72,16,TRUE,dc092ecc5d5a424678eac445a9f4443069776691,TRUE,TRUE,2024-02-08T18:03:29Z,migtissera/Tess-72B-v1.5b,https://huggingface.co/migtissera/Tess-72B-v1.5b
💬,moreh/MoMo-72B-lora-1.8.6-DPO,77.29,70.14,86.03,77.4,69,84.37,76.8,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,TRUE,mit,72,32,TRUE,76389d5d825c3743cc70bc75b902bbfdad11beba,TRUE,TRUE,2024-01-16T11:52:34Z,moreh/MoMo-72B-lora-1.8.6-DPO,https://huggingface.co/moreh/MoMo-72B-lora-1.8.6-DPO
🔶,abacusai/Smaugv0.1,77.29,74.23,86.76,76.66,70.22,83.66,72.18,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,"",34,0,FALSE,036927bc2b54d408bb9e9357c3df8353f5853ea8,TRUE,TRUE,2024-01-25T17:56:45Z,abacusai/Smaugv0.1,https://huggingface.co/abacusai/Smaugv0.1
🔶,abacusai/Smaug-34B-v0.1,77.29,74.23,86.76,76.66,70.22,83.66,72.18,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,other,34,55,TRUE,7b74a95019f01b59630cbd6469814c752d0e59e5,TRUE,TRUE,2024-01-27T21:10:02Z,abacusai/Smaug-34B-v0.1,https://huggingface.co/abacusai/Smaug-34B-v0.1
🔶,cloudyu/Truthful_DPO_TomGrc_FusionNet_34Bx2_MoE,77.28,72.87,86.52,76.96,73.28,83.19,70.89,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,TRUE,mit,60,4,TRUE,097b951c2524e6113252fcd98ba5830c85dc450f,TRUE,FALSE,2024-01-25T11:51:28Z,cloudyu/Truthful_DPO_TomGrc_FusionNet_34Bx2_MoE,https://huggingface.co/cloudyu/Truthful_DPO_TomGrc_FusionNet_34Bx2_MoE
🤝,louisbrulenaudet/Maxine-34B-stock,77.28,74.06,86.74,76.62,70.18,83.9,72.18,🤝 base merges and moerges,LlamaForCausalLM,Original,bfloat16,TRUE,apache-2.0,34,3,FALSE,5d87d746433f6eaddf34fd1dbdeed859b15348aa,TRUE,TRUE,2024-04-04T20:31:00Z,louisbrulenaudet/Maxine-34B-stock,https://huggingface.co/louisbrulenaudet/Maxine-34B-stock
🔶,jefferylovely/MoeLovely-13B,77.25,73.72,89.49,64.78,78.74,87.61,69.14,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,TRUE,"",12,0,FALSE,ac4f0ad8a665eb6b54c286810a9b4551b0bcdc25,TRUE,FALSE,2024-03-08T05:53:20Z,jefferylovely/MoeLovely-13B,https://huggingface.co/jefferylovely/MoeLovely-13B
🔶,saltlux/luxia-21.4b-alignment-v0.4,77.23,76.88,91.83,68.06,76.72,87.21,62.7,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,bfloat16,TRUE,"",21,0,FALSE,4c4342a9c3e8e793a0969b74222d887d53cb294e,TRUE,TRUE,2024-03-11T17:10:06Z,saltlux/luxia-21.4b-alignment-v0.4,https://huggingface.co/saltlux/luxia-21.4b-alignment-v0.4
🔶,ibivibiv/orthorus-125b-v2,77.22,73.63,89.04,75.99,70.19,85.48,68.99,🔶 fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,float16,TRUE,apache-2.0,125,4,TRUE,95b3b4e432d98b804d64cfe42dd9fa6b67198e5b,TRUE,FALSE,2024-03-01T02:20:27Z,ibivibiv/orthorus-125b-v2,https://huggingface.co/ibivibiv/orthorus-125b-v2
🔶,ConvexAI/Luminex-34B-v0.2,77.19,74.49,86.76,76.55,70.21,83.27,71.87,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,other,34,11,TRUE,3880710724abcaffbdf8fa4031e1d02066fbfe9d,TRUE,TRUE,2024-02-18T19:56:57Z,ConvexAI/Luminex-34B-v0.2,https://huggingface.co/ConvexAI/Luminex-34B-v0.2
🔶,senseable/Wilbur-30B,77.18,74.06,86.68,76.7,69.96,83.43,72.25,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,"",34,0,FALSE,eab679f95e078efb71fbaa7b1aa0be05bb4e46ca,TRUE,TRUE,2024-01-27T04:03:58Z,senseable/Wilbur-30B,https://huggingface.co/senseable/Wilbur-30B
🤝,RubielLabarta/LogoS-7Bx2-MoE-13B-v0.2,77.15,74.4,89.09,64.9,74.53,88.4,71.57,🤝 base merges and moerges,MixtralForCausalLM,Original,bfloat16,FALSE,apache-2.0,12,10,TRUE,354f0eb0a1299473c861c0505c2ede04ced90972,TRUE,FALSE,2024-02-11T16:05:38Z,RubielLabarta/LogoS-7Bx2-MoE-13B-v0.2,https://huggingface.co/RubielLabarta/LogoS-7Bx2-MoE-13B-v0.2
