id,model_name,model_sha,model_precision,model_type,model_weight_type,model_architecture,model_average_score,model_has_chat_template,evaluations_ifeval_name,evaluations_ifeval_value,evaluations_ifeval_normalized_score,evaluations_bbh_name,evaluations_bbh_value,evaluations_bbh_normalized_score,evaluations_math_name,evaluations_math_value,evaluations_math_normalized_score,evaluations_gpqa_name,evaluations_gpqa_value,evaluations_gpqa_normalized_score,evaluations_musr_name,evaluations_musr_value,evaluations_musr_normalized_score,evaluations_mmlu_pro_name,evaluations_mmlu_pro_value,evaluations_mmlu_pro_normalized_score,features_is_not_available_on_hub,features_is_merged,features_is_moe,features_is_flagged,features_is_official_provider,metadata_upload_date,metadata_submission_date,metadata_generation,metadata_base_model,metadata_hub_license,metadata_hub_hearts,metadata_params_billions,metadata_co2_cost
01-ai/Yi-1.5-9B-Chat-16K_bfloat16_2b397e5f0fab87984efa66856c5c4ed4bbe68b50_True,01-ai/Yi-1.5-9B-Chat-16K,2b397e5f0fab87984efa66856c5c4ed4bbe68b50,bfloat16,chatmodels,Original,LlamaForCausalLM,23.0352815745068,TRUE,IFEval,0.421404096685683,42.1404096685683,BBH,0.515338336465178,31.4976089470183,MATH Level 5,0.134441087613293,13.4441087613293,GPQA,0.308724832214765,7.82997762863535,MUSR,0.40990625,10.03828125,MMLU-PRO,0.399351728723404,33.2613031914894,TRUE,FALSE,FALSE,FALSE,TRUE,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-9B-Chat-16K,apache-2.0,35,8.829,0.792372506700877
01-ai/Yi-34B_bfloat16_e1e7da8c75cfd5c44522228599fd4d2990cedd1c_False,01-ai/Yi-34B,e1e7da8c75cfd5c44522228599fd4d2990cedd1c,bfloat16,pretrained,Original,LlamaForCausalLM,22.3857151357544,FALSE,IFEval,0.304575193819067,30.4575193819067,BBH,0.545709995179456,35.5424312590088,MATH Level 5,0.0521148036253777,5.21148036253777,GPQA,0.366610738255034,15.5480984340045,MUSR,0.411854166666667,9.6484375,MMLU-PRO,0.441156914893617,37.9063238770686,TRUE,FALSE,FALSE,FALSE,TRUE,2023-11-01,2024-06-12,0,01-ai/Yi-34B,apache-2.0,1291,34.389,12.8287416443898
01-ai/Yi-34B-200K_bfloat16_8ac1a1ebe011df28b78ccd08012aeb2222443c77_False,01-ai/Yi-34B-200K,8ac1a1ebe011df28b78ccd08012aeb2222443c77,bfloat16,pretrained,Original,LlamaForCausalLM,19.8875941677971,FALSE,IFEval,0.154248505077638,15.4248505077638,BBH,0.544181792528953,36.022110289,MATH Level 5,0.0498489425981873,4.98489425981873,GPQA,0.356543624161074,14.2058165548098,MUSR,0.38171875,9.41484375,MMLU-PRO,0.453457446808511,39.2730496453901,TRUE,FALSE,FALSE,FALSE,TRUE,2023-11-06,2024-06-12,0,01-ai/Yi-34B-200K,apache-2.0,318,34.389,12.7519279235648
01-ai/Yi-34B-Chat_bfloat16_2e528b6a80fb064a0a746c5ca43114b135e30464_True,01-ai/Yi-34B-Chat,2e528b6a80fb064a0a746c5ca43114b135e30464,bfloat16,chatmodels,Original,LlamaForCausalLM,23.9623121996312,TRUE,IFEval,0.469888783982057,46.9888783982057,BBH,0.556087291076616,37.6239875972435,MATH Level 5,0.0468277945619335,4.68277945619335,GPQA,0.338087248322148,11.744966442953,MUSR,0.39784375,8.36380208333334,MMLU-PRO,0.409325132978723,34.3694592198582,TRUE,FALSE,FALSE,FALSE,TRUE,2023-11-22,2024-06-12,0,01-ai/Yi-34B-Chat,apache-2.0,348,34.389,12.5628478449908
01-ai/Yi-6B_bfloat16_7f7fb7662fd8ec09029364f408053c954986c8e5_False,01-ai/Yi-6B,7f7fb7662fd8ec09029364f408053c954986c8e5,bfloat16,pretrained,Original,LlamaForCausalLM,13.6116174853761,FALSE,IFEval,0.289337845804687,28.9337845804687,BBH,0.430923059100086,19.4085047379151,MATH Level 5,0.0158610271903323,1.58610271903323,GPQA,0.269295302013423,2.57270693512304,MUSR,0.3936875,7.04427083333334,MMLU-PRO,0.299119015957447,22.124335106383,TRUE,FALSE,FALSE,FALSE,TRUE,2023-11-01,2024-06-12,0,01-ai/Yi-6B,apache-2.0,371,6.061,0.54927462685002
01-ai/Yi-6B-200K_bfloat16_4a74338e778a599f313e9fa8f5bc08c717604420_False,01-ai/Yi-6B-200K,4a74338e778a599f313e9fa8f5bc08c717604420,bfloat16,pretrained,Original,LlamaForCausalLM,11.9331577147442,FALSE,IFEval,0.0843306870215473,8.43306870215473,BBH,0.428929481096033,20.148020103768,MATH Level 5,0.0143504531722054,1.43504531722054,GPQA,0.281879194630873,4.25055928411633,MUSR,0.458739583333333,16.8424479166667,MMLU-PRO,0.284408244680851,20.489804964539,TRUE,FALSE,FALSE,FALSE,TRUE,2023-11-06,2024-06-12,0,01-ai/Yi-6B-200K,apache-2.0,172,6.061,0.563211990309226
01-ai/Yi-6B-Chat_bfloat16_01f7fabb6cfb26efeb764da4a0a19cad2c754232_True,01-ai/Yi-6B-Chat,01f7fabb6cfb26efeb764da4a0a19cad2c754232,bfloat16,chatmodels,Original,LlamaForCausalLM,14.0043569538772,TRUE,IFEval,0.339521358883319,33.9521358883319,BBH,0.413260192075487,17.0001665674238,MATH Level 5,0.006797583081571,0.6797583081571,GPQA,0.294463087248322,5.92841163310962,MUSR,0.368791666666667,3.565625,MMLU-PRO,0.30610039893617,22.9000443262411,TRUE,FALSE,FALSE,FALSE,TRUE,2023-11-22,2024-06-12,0,01-ai/Yi-6B-Chat,apache-2.0,65,6.061,0.555332836121801
01-ai/Yi-9B_bfloat16_b4a466d95091696285409f1dcca3028543cb39da_False,01-ai/Yi-9B,b4a466d95091696285409f1dcca3028543cb39da,bfloat16,pretrained,Original,LlamaForCausalLM,17.7741030172929,FALSE,IFEval,0.270877937206612,27.0877937206612,BBH,0.493960751253081,27.6269561120779,MATH Level 5,0.0536253776435045,5.36253776435045,GPQA,0.317953020134228,9.06040268456376,MUSR,0.40540625,8.90911458333333,MMLU-PRO,0.357380319148936,28.5978132387707,TRUE,FALSE,FALSE,FALSE,TRUE,2024-03-01,2024-06-12,0,01-ai/Yi-9B,apache-2.0,186,8.829,0.765331980708509
01-ai/Yi-9B-200K_bfloat16_8c93accd5589dbb74ee938e103613508c4a9b88d_False,01-ai/Yi-9B-200K,8c93accd5589dbb74ee938e103613508c4a9b88d,bfloat16,pretrained,Original,LlamaForCausalLM,17.7421399029321,FALSE,IFEval,0.232709211558664,23.2709211558664,BBH,0.479330260202364,26.4924950971475,MATH Level 5,0.0672205438066465,6.72205438066465,GPQA,0.315436241610738,8.7248322147651,MUSR,0.42940625,12.1091145833333,MMLU-PRO,0.36220079787234,29.1334219858156,TRUE,FALSE,FALSE,FALSE,TRUE,2024-03-15,2024-06-12,0,01-ai/Yi-9B-200K,apache-2.0,75,8.829,0.774491171896652
01-ai/Yi-Coder-9B-Chat_bfloat16_356a1f8d4e4a606d0b879e54191ca809918576b8_True,01-ai/Yi-Coder-9B-Chat,356a1f8d4e4a606d0b879e54191ca809918576b8,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,16.8726962635044,TRUE,IFEval,0.481704100675098,48.1704100675098,BBH,0.481420003391117,25.9431529449139,MATH Level 5,0.0332326283987915,3.32326283987915,GPQA,0.24748322147651,0,MUSR,0.399177083333333,7.96380208333333,MMLU-PRO,0.242519946808511,15.8355496453901,TRUE,FALSE,FALSE,FALSE,TRUE,2024-08-21,2024-09-12,1,01-ai/Yi-Coder-9B,apache-2.0,195,8.829,0.909766114796084
1-800-LLMs/Qwen-2.5-14B-Hindi_float16_554e931a1b7e72689bdf044f8507e319e4b722e7_False,1-800-LLMs/Qwen-2.5-14B-Hindi,554e931a1b7e72689bdf044f8507e319e4b722e7,float16,fine-tunedondomain-specificdatasets,Original,Qwen2ForCausalLM,34.894072273537,FALSE,IFEval,0.582570911847232,58.2570911847232,BBH,0.65239015319562,49.3298899521034,MATH Level 5,0.250755287009063,25.0755287009063,GPQA,0.36241610738255,14.9888143176734,MUSR,0.4489375,14.3505208333333,MMLU-PRO,0.52626329787234,47.3625886524823,TRUE,FALSE,FALSE,FALSE,FALSE,2025-02-03,2025-02-06,0,1-800-LLMs/Qwen-2.5-14B-Hindi,"",1,14.77,1.93303714367341
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct_bfloat16_05b8099d33cc43eb065ab4aadb13c5362e1c3cbe_False,1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,05b8099d33cc43eb065ab4aadb13c5362e1c3cbe,bfloat16,fine-tunedondomain-specificdatasets,Original,Qwen2ForCausalLM,30.9326604579107,FALSE,IFEval,0.307746778547587,30.7746778547587,BBH,0.628432271496758,46.5401555408833,MATH Level 5,0.305891238670695,30.5891238670695,GPQA,0.36996644295302,15.9955257270693,MUSR,0.4490625,15.4328125,MMLU-PRO,0.516373005319149,46.2636672576832,TRUE,FALSE,FALSE,FALSE,FALSE,2025-02-05,2025-02-06,2,Qwen/Qwen2.5-14B,apache-2.0,1,14.77,2.70023273453582
1024m/PHI-4-Hindi_float16_9bb64444dcd4d306619ac29bcb32d29299238373_False,1024m/PHI-4-Hindi,9bb64444dcd4d306619ac29bcb32d29299238373,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,27.450086599824,FALSE,IFEval,0.00816832670647216,0.816832670647216,BBH,0.671001564276067,52.4618138102376,MATH Level 5,0.231117824773414,23.1117824773414,GPQA,0.397651006711409,19.6868008948546,MUSR,0.491354166666667,21.5192708333333,MMLU-PRO,0.523936170212766,47.1040189125296,TRUE,FALSE,FALSE,FALSE,FALSE,2025-02-06,2025-02-06,2,microsoft/phi-4,apache-2.0,0,14.66,0.829821029889795
1024m/QWEN-14B-B100_bfloat16_adecb879fc4c585b789f36f19d5bccc150f40837_True,1024m/QWEN-14B-B100,adecb879fc4c585b789f36f19d5bccc150f40837,bfloat16,fine-tunedondomain-specificdatasets,Original,Qwen2ForCausalLM,32.8556226834794,TRUE,IFEval,0.776210454926262,77.6210454926262,BBH,0.653271132679638,49.7766478210322,MATH Level 5,0,0,GPQA,0.350671140939597,13.4228187919463,MUSR,0.41,9.88333333333333,MMLU-PRO,0.517869015957447,46.4298906619385,TRUE,FALSE,FALSE,FALSE,FALSE,2025-01-23,2025-02-06,3,Qwen/Qwen2.5-14B,apache-2.0,0,14.77,1.68509097116794
152334H/miqu-1-70b-sf_float16_1dca4cce36f01f2104ee2e6b97bac6ff7bb300c1_False,152334H/miqu-1-70b-sf,1dca4cce36f01f2104ee2e6b97bac6ff7bb300c1,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,29.0596433757835,FALSE,IFEval,0.518174000540787,51.8174000540787,BBH,0.610236168509969,43.807147003692,MATH Level 5,0.122356495468278,12.2356495468278,GPQA,0.350671140939597,13.4228187919463,MUSR,0.458208333333333,17.209375,MMLU-PRO,0.422789228723404,35.865469858156,FALSE,FALSE,FALSE,FALSE,FALSE,2024-01-30,2024-06-26,0,152334H/miqu-1-70b-sf,"",221,68.977,6.09898597691416
1TuanPham/T-VisStar-7B-v0.1_float16_b111b59971c14b46c888b96723ff7f3c7b6fd92f_True,1TuanPham/T-VisStar-7B-v0.1,b111b59971c14b46c888b96723ff7f3c7b6fd92f,float16,chatmodels,Original,MistralForCausalLM,19.0441036763536,TRUE,IFEval,0.360704043050218,36.0704043050218,BBH,0.505220311335247,30.243834478826,MATH Level 5,0.0513595166163142,5.13595166163142,GPQA,0.285234899328859,4.6979865771812,MUSR,0.4375,13.5541666666667,MMLU-PRO,0.321060505319149,24.5622783687943,TRUE,TRUE,FALSE,FALSE,FALSE,2024-09-19,2024-09-22,0,1TuanPham/T-VisStar-7B-v0.1,apache-2.0,2,7.294,1.2695126379214
1TuanPham/T-VisStar-v0.1_float16_c9779bd9630a533f7e42fd8effcca69623d48c9c_True,1TuanPham/T-VisStar-v0.1,c9779bd9630a533f7e42fd8effcca69623d48c9c,float16,fine-tunedondomain-specificdatasets,Original,MistralForCausalLM,19.0441036763536,TRUE,IFEval,0.360704043050218,36.0704043050218,BBH,0.505220311335247,30.243834478826,MATH Level 5,0.0513595166163142,5.13595166163142,GPQA,0.285234899328859,4.6979865771812,MUSR,0.4375,13.5541666666667,MMLU-PRO,0.321060505319149,24.5622783687943,TRUE,TRUE,FALSE,FALSE,FALSE,2024-09-19,2024-09-20,0,1TuanPham/T-VisStar-v0.1,apache-2.0,2,7.294,0.624384413568203
3rd-Degree-Burn/L-3.1-Science-Writer-8B_float16_d9bb11fb02f8eca3aec408912278e513377115da_False,3rd-Degree-Burn/L-3.1-Science-Writer-8B,d9bb11fb02f8eca3aec408912278e513377115da,float16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,21.0786198675523,FALSE,IFEval,0.426250127439638,42.6250127439638,BBH,0.50413063262161,29.1993007864166,MATH Level 5,0.102719033232628,10.2719033232628,GPQA,0.274328859060403,3.24384787472036,MUSR,0.395947916666667,11.6934895833333,MMLU-PRO,0.364943484042553,29.438164893617,FALSE,FALSE,FALSE,FALSE,FALSE,"",2024-11-19,0,Removed,"",0,8.03,0.709678274304918
3rd-Degree-Burn/Llama-3.1-8B-Squareroot_float16_2bec01c2c5d53276eac2222c80190eb44ab2e6af_True,3rd-Degree-Burn/Llama-3.1-8B-Squareroot,2bec01c2c5d53276eac2222c80190eb44ab2e6af,float16,basemergesandmoerges,Original,LlamaForCausalLM,10.5817468356124,TRUE,IFEval,0.221343812196084,22.1343812196084,BBH,0.346094233263289,8.6180636819352,MATH Level 5,0.227341389728097,22.7341389728097,GPQA,0.256711409395973,0.894854586129753,MUSR,0.308916666666667,0.78125,MMLU-PRO,0.174950132978723,8.32779255319149,TRUE,TRUE,FALSE,FALSE,FALSE,2024-10-10,2024-10-10,1,3rd-Degree-Burn/Llama-3.1-8B-Squareroot (Merge),apache-2.0,1,8.03,0.987049861129138
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1_float16_09339d9c3b118ae3c6e7beab8b84347471990988_True,3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,09339d9c3b118ae3c6e7beab8b84347471990988,float16,basemergesandmoerges,Original,LlamaForCausalLM,7.59736191936822,TRUE,IFEval,0.289238110435866,28.9238110435866,BBH,0.334277031192513,6.51514472598274,MATH Level 5,0.0619335347432024,6.19335347432024,GPQA,0.255872483221477,0.782997762863532,MUSR,0.3340625,1.7578125,MMLU-PRO,0.112699468085106,1.41105200945626,FALSE,FALSE,FALSE,FALSE,FALSE,"",2024-11-10,0,Removed,"",0,8.03,0.772749272395982
3rd-Degree-Burn/Llama-Squared-8B_bfloat16_f30737e92b3a3fa0ef2a3f3ade487cc94ad34400_True,3rd-Degree-Burn/Llama-Squared-8B,f30737e92b3a3fa0ef2a3f3ade487cc94ad34400,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,12.2335443250511,TRUE,IFEval,0.275524497222924,27.5524497222924,BBH,0.443102568386835,21.2771031901068,MATH Level 5,0.0453172205438067,4.53172205438067,GPQA,0.271812080536913,2.9082774049217,MUSR,0.308947916666667,1.95182291666667,MMLU-PRO,0.236619015957447,15.1798906619385,FALSE,FALSE,FALSE,FALSE,FALSE,"",2024-10-08,0,Removed,"",0,8.03,1.01111152474142
4season/final_model_test_v2_bfloat16_cf690c35d9cf0b0b6bf034fa16dbf88c56fe861c_False,4season/final_model_test_v2,cf690c35d9cf0b0b6bf034fa16dbf88c56fe861c,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,21.9155401795957,FALSE,IFEval,0.319113286080932,31.9113286080932,BBH,0.634204978329502,47.4106701369064,MATH Level 5,0.013595166163142,1.3595166163142,GPQA,0.327181208053691,10.2908277404922,MUSR,0.431447916666667,12.4309895833333,MMLU-PRO,0.352809175531915,28.089908392435,TRUE,FALSE,FALSE,FALSE,FALSE,2024-05-20,2024-06-27,0,4season/final_model_test_v2,apache-2.0,0,21.421,1.0810383598407
AALF/FuseChat-Llama-3.1-8B-Instruct-preview_bfloat16_f740497979293c90fa1cfaa7c446016e107cc2c1_True,AALF/FuseChat-Llama-3.1-8B-Instruct-preview,f740497979293c90fa1cfaa7c446016e107cc2c1,bfloat16,chatmodels,Original,LlamaForCausalLM,25.6103675067756,TRUE,IFEval,0.718957920539724,71.8957920539723,BBH,0.51198878983499,30.8480652162296,MATH Level 5,0.0702416918429003,7.02416918429003,GPQA,0.305369127516779,7.38255033557047,MUSR,0.382,6.15000000000001,MMLU-PRO,0.373254654255319,30.361628250591,FALSE,FALSE,FALSE,FALSE,FALSE,2024-11-20,2024-11-20,0,AALF/FuseChat-Llama-3.1-8B-Instruct-preview,"",9,8.03,0.68861912808304
AALF/FuseChat-Llama-3.1-8B-SFT-preview_bfloat16_601f2b8c448acc5686656d3979ed732ce050b827_True,AALF/FuseChat-Llama-3.1-8B-SFT-preview,601f2b8c448acc5686656d3979ed732ce050b827,bfloat16,fine-tunedondomain-specificdatasets,Original,LlamaForCausalLM,27.3748389276178,TRUE,IFEval,0.728050461663941,72.8050461663941,BBH,0.524030313044523,32.536781563153,MATH Level 5,0.11404833836858,11.404833836858,GPQA,0.304530201342282,7.27069351230425,MUSR,0.402,9.75,MMLU-PRO,0.374335106382979,30.4816784869976,FALSE,FALSE,FALSE,FALSE,FALSE,2024-11-20,2024-11-21,0,AALF/FuseChat-Llama-3.1-8B-SFT-preview,"",0,8.03,0.684307538380291
AALF/gemma-2-27b-it-SimPO-37K_bfloat16_27f15219df2000a16955c9403c3f38b5f3413b3d_True,AALF/gemma-2-27b-it-SimPO-37K,27f15219df2000a16955c9403c3f38b5f3413b3d,bfloat16,chatmodels,Original,Gemma2ForCausalLM,9.29807939486237,TRUE,IFEval,0.240652579599906,24.0652579599906,BBH,0.391134391795253,15.3078809719543,MATH Level 5,0,0,GPQA,0.280201342281879,4.0268456375839,MUSR,0.348760416666667,1.59505208333333,MMLU-PRO,0.197140957446809,10.7934397163121,TRUE,FALSE,FALSE,FALSE,FALSE,2024-08-13,2024-09-05,2,google/gemma-2-27b,gemma,18,27.227,9.9977216254124
AALF/gemma-2-27b-it-SimPO-37K-100steps_bfloat16_d5cbf18b2eb90b77f5ddbb74cfcaeedfa692c90c_True,AALF/gemma-2-27b-it-SimPO-37K-100steps,d5cbf18b2eb90b77f5ddbb74cfcaeedfa692c90c,bfloat16,chatmodels,Original,Gemma2ForCausalLM,9.89433609242818,TRUE,IFEval,0.25676427434762,25.676427434762,BBH,0.39308230769885,15.2610783228471,MATH Level 5,0,0,GPQA,0.288590604026846,5.14541387024609,MUSR,0.332916666666667,0.78125,MMLU-PRO,0.212516622340426,12.5018469267139,TRUE,FALSE,FALSE,FALSE,FALSE,2024-08-13,2024-09-21,2,google/gemma-2-27b,gemma,11,27.227,9.85673547469955
AELLM/gemma-2-aeria-infinity-9b_bfloat16_24e1de07258925d5ddb52134b66e2eb0d698dc11_True,AELLM/gemma-2-aeria-infinity-9b,24e1de07258925d5ddb52134b66e2eb0d698dc11,bfloat16,basemergesandmoerges,Original,Gemma2ForCausalLM,28.3440286396789,TRUE,IFEval,0.759399504426034,75.9399504426034,BBH,0.598333666957765,42.0902142313775,MATH Level 5,0,0,GPQA,0.333892617449664,11.1856823266219,MUSR,0.40196875,9.04609375,MMLU-PRO,0.386220079787234,31.8022310874705,FALSE,FALSE,FALSE,FALSE,FALSE,2024-10-09,2024-10-09,1,AELLM/gemma-2-aeria-infinity-9b (Merge),"",1,9.242,3.00378934417863
